"","player","season","schl","games","gs","mp"
"1","A'Jahni Levias",2022,"North Dakota",24,4,301
"2","A'lahn Sumler",2022,"Northern Kentucky",28,0,281
"3","A'uston Calhoun",2010,"Bowling Green State",33,18,834
"4","A'uston Calhoun",2011,"Bowling Green State",32,32,925
"5","A'uston Calhoun",2012,"Bowling Green State",32,32,1090
"6","A.J. Avery",2012,"Western Michigan",19,0,87
"7","A.J. Avery",2013,"Western Michigan",32,0,313
"8","A.J. Avery",2014,"Western Michigan",28,0,289
"9","A.J. Avery",2015,"Western Michigan",32,32,786
"10","A.J. Gareri",2017,"Ohio",10,0,61
"11","A.J. Hammons",2012,"Purdue",34,27,786
"12","A.J. Hammons",2013,"Purdue",31,25,775
"13","A.J. Hammons",2014,"Purdue",34,23,827
"14","A.J. Hammons",2015,"Purdue",33,20,813
"15","A.J. Harris",2015,"Ohio State",35,4,479
"16","A.J. Hess",2016,"South Dakota State",29,20,747
"17","A.J. Hoggard",2020,"Michigan State",26,8,344
"18","A.J. Hoggard",2021,"Michigan State",36,8,728
"19","A.J. Hoggard",2022,"Michigan State",34,33,1041
"20","A.J. Hoggard",2023,"Michigan State",6,6,157
"21","A.J. Jacobson",2014,"North Dakota State",28,28,919
"22","A.J. Jacobson",2015,"North Dakota State",33,32,1133
"23","A.J. Jacobson",2016,"North Dakota State",29,28,924
"24","A.J. Jacobson",2017,"North Dakota State",32,32,826
"25","A.J. Mathew",2011,"Toledo",31,0,198
"26","A.J. Mathew",2012,"Toledo",8,0,37
"27","A.J. McGinnis",2021,"Cincinnati",8,0,41
"28","A.J. Oliver",2022,"Detroit Mercy",29,26,744
"29","A.J. Pacher",2010,"Wright State",32,3,370
"30","A.J. Pacher",2011,"Wright State",32,9,461
"31","A.J. Pacher",2012,"Wright State",33,13,464
"32","A.J. Pacher",2013,"Wright State",36,34,832
"33","A.J. Patty",2015,"Murray State",18,0,93
"34","A.J. Plitzuweit",2020,"South Dakota",22,22,754
"35","A.J. Plitzuweit",2022,"South Dakota",29,27,801
"36","A.J. Rutter",2013,"Drake",2,0,1
"37","A.J. Rutter",2015,"Drake",1,0,3
"38","A.J. Rutter",2016,"Drake",6,0,14
"39","A.J. Turner",2018,"Northwestern",32,20,957
"40","A.J. Turner",2019,"Northwestern",30,4,731
"41","Aanen Moody",2018,"North Dakota",30,0,691
"42","Aanen Moody",2019,"North Dakota",9,0,142
"43","Aarias Austin",2015,"Northern Iowa",9,0,120
"44","Aaric Armstead",2013,"Northern Illinois",30,NA,766
"45","Aaric Armstead",2014,"Northern Illinois",28,27,807
"46","Aaric Armstead",2015,"Northern Illinois",34,34,983
"47","Aaric Armstead",2016,"Northern Illinois",32,31,974
"48","Aaris-Monte Bonds",2020,"Chicago State",6,5,129
"49","Aaron Adeoye",2011,"Ball State",30,8,520
"50","Aaron Anderson",2010,"North Dakota",34,1,754
"51","Aaron Anderson",2011,"North Dakota",32,32,963
"52","Aaron Anderson",2012,"North Dakota",33,33,1055
"53","Aaron Anderson",2013,"North Dakota",34,30,1000
"54","Aaron Anderson",2015,"Oral Roberts",30,17,681
"55","Aaron Anderson",2016,"Oral Roberts",26,24,762
"56","Aaron Armstead",2011,"Green Bay",30,4,436
"57","Aaron Armstead",2013,"Northern Illinois",32,NA,618
"58","Aaron Armstead",2014,"Northern Illinois",29,5,607
"59","Aaron Brennan",2014,"IUPUI",28,24,585
"60","Aaron Brennan",2015,"IUPUI",32,10,569
"61","Aaron Brennan",2016,"IUPUI",32,10,596
"62","Aaron Brennan",2017,"IUPUI",30,30,818
"63","Aaron Calixte",2018,"Oklahoma",34,19,717
"64","Aaron Carter",2010,"Indiana State",34,24,779
"65","Aaron Cook",2016,"Southern Illinois",32,0,338
"66","Aaron Cook",2017,"Southern Illinois",33,32,989
"67","Aaron Cook",2018,"Southern Illinois",32,32,1048
"68","Aaron Cook",2019,"Southern Illinois",6,6,187
"69","Aaron Cooper",2010,"Missouri State",14,0,51
"70","Aaron Cosby",2014,"Illinois",19,13,480
"71","Aaron Craft",2010,"Ohio State",37,NA,1096
"72","Aaron Craft",2011,"Ohio State",39,39,1255
"73","Aaron Craft",2012,"Ohio State",37,37,1263
"74","Aaron Craft",2013,"Ohio State",35,35,1204
"75","Aaron Ellis",2010,"Wichita State",37,21,664
"76","Aaron Falzon",2015,"Northwestern",32,29,785
"77","Aaron Falzon",2016,"Northwestern",3,0,20
"78","Aaron Falzon",2017,"Northwestern",28,10,447
"79","Aaron Falzon",2018,"Northwestern",17,4,264
"80","Aaron Fiegen",2019,"South Dakota State",9,0,25
"81","Aaron Fiegen",2020,"South Dakota State",10,0,28
"82","Aaron Fiegen",2021,"South Dakota State",12,0,41
"83","Aaron Fiegen",2022,"South Dakota State",8,0,16
"84","Aaron Foster-Smith",2015,"Detroit Mercy",30,1,321
"85","Aaron Foster-Smith",2016,"Detroit Mercy",4,0,57
"86","Aaron Franklin",2023,"Milwaukee",7,1,81
"87","Aaron Ganson",2010,"Bradley",2,0,2
"88","Aaron Hawley",2010,"Drake",30,4,484
"89","Aaron Hawley",2011,"Drake",34,12,704
"90","Aaron Hawley",2013,"Drake",31,25,841
"91","Aaron Henry",2018,"Michigan State",39,22,860
"92","Aaron Henry",2019,"Michigan State",30,29,872
"93","Aaron Henry",2020,"Michigan State",28,26,910
"94","Aaron Jackson",2014,"Akron",29,1,269
"95","Aaron Jackson",2015,"Akron",29,6,285
"96","Aaron Jackson",2016,"Akron",32,9,423
"97","Aaron Jordan",2015,"Illinois",30,5,350
"98","Aaron Jordan",2016,"Illinois",24,2,165
"99","Aaron Jordan",2017,"Illinois",32,6,644
"100","Aaron Jordan",2018,"Illinois",33,31,888
"101","Aaron Law",2012,"Iowa State",6,0,15
"102","Aaron Liberman",2013,"Northwestern",10,0,9
"103","Aaron Moesch",2014,"Wisconsin",14,0,28
"104","Aaron Moesch",2015,"Wisconsin",15,0,48
"105","Aaron Moesch",2016,"Wisconsin",17,0,40
"106","Aaron Moesch",2017,"Wisconsin",26,0,157
"107","Aaron Pogue",2010,"Cleveland State",36,36,902
"108","Aaron Pogue",2011,"Cleveland State",32,32,674
"109","Aaron Scales",2012,"Cleveland State",24,0,133
"110","Aaron Scales",2014,"Cleveland State",24,0,133
"111","Aaron Scales",2015,"Cleveland State",24,0,193
"112","Aaron Siler",2015,"Southern Illinois",2,0,3
"113","Aaron Tate",2013,"Robert Morris",36,12,669
"114","Aaron Tate",2014,"Robert Morris",33,30,791
"115","Aaron Tate",2015,"Robert Morris",3,0,46
"116","Aaron Tate",2016,"Robert Morris",33,32,897
"117","Aaron Thompson",2017,"Butler",35,32,845
"118","Aaron Thompson",2018,"Butler",33,33,892
"119","Aaron Thompson",2019,"Butler",27,27,874
"120","Aaron Thompson",2020,"Butler",14,14,472
"121","Aaron Thompson",2021,"Butler",30,30,958
"122","Aaron Wheeler",2018,"Purdue",36,0,495
"123","Aaron Wheeler",2019,"Purdue",31,9,551
"124","Aaron Wheeler",2020,"Purdue",28,5,512
"125","Aaron White",2011,"Iowa",35,14,834
"126","Aaron White",2012,"Iowa",38,38,1109
"127","Aaron White",2013,"Iowa",33,33,926
"128","Aaron White",2014,"Iowa",34,34,1070
"129","Aaron Williams",2011,"Chicago State",29,3,426
"130","Aaron Williams",2012,"Chicago State",25,4,260
"131","Aaron Williams",2014,"Chicago State",24,4,250
"132","Aaron Young",2014,"Oral Roberts",31,25,724
"133","Aaron Young",2015,"Oral Roberts",31,14,570
"134","Aaron Young",2016,"Oral Roberts",28,12,691
"135","Abayomi Iyiola",2022,"Kansas State",31,9,350
"136","Abdel Nader",2011,"Northern Illinois",31,29,750
"137","Abdel Nader",2012,"Northern Illinois",19,18,483
"138","Abdel Nader",2014,"Iowa State",32,0,524
"139","Abdel Nader",2015,"Iowa State",35,35,1088
"140","Abdou Ndiaye",2019,"Illinois State",28,9,333
"141","Abdou Ndiaye",2020,"Illinois State",23,8,326
"142","Abdou Ndiaye",2021,"Illinois State",26,4,246
"143","Abdou Samb",2023,"IUPUI",7,0,114
"144","Abdoul Karim Coulibaly",2019,"Pittsburgh",26,0,244
"145","Abdoul Karim Coulibaly",2020,"Pittsburgh",22,20,494
"146","Abdoulaye Harouna",2015,"Miami (OH)",33,18,630
"147","Abdoulaye Harouna",2016,"Miami (OH)",30,27,758
"148","Abdoulaye Harouna",2018,"Miami (OH)",32,16,470
"149","Abdoulaye Thiam",2021,"Minnesota",15,0,49
"150","Abdul Ado",2021,"Cincinnati",32,32,556
"151","Abdul Ahmed",2010,"Oklahoma",1,0,2
"152","Abdul Fofana",2017,"Missouri State",13,0,67
"153","Abdullah Olajuwon",2023,"Detroit Mercy",6,5,97
"154","Abiola Akintola",2015,"Denver",1,0,2
"155","Abiola Akintola",2016,"Denver",28,1,190
"156","Abiola Akintola",2017,"Denver",29,10,321
"157","Abiola Akintola",2018,"Denver",30,16,577
"158","Acton Shirley",2020,"IUPUI",9,0,25
"159","Adam Barnes",2010,"Belmont",29,0,107
"160","Adam Barnes",2011,"Belmont",35,2,357
"161","Adam Barnes",2012,"Belmont",31,0,160
"162","Adam Cook",2020,"Cincinnati",4,1,4
"163","Adam Cooper",2011,"Loyola (IL)",8,0,7
"164","Adam Dykman",2016,"South Dakota State",9,0,23
"165","Adam Giles",2016,"Wright State",7,0,17
"166","Adam Giles",2017,"Wright State",7,1,17
"167","Adam Giles",2018,"Wright State",14,0,33
"168","Adam Glenville",2013,"Oral Roberts",5,0,8
"169","Adam Glenville",2015,"Oral Roberts",4,0,22
"170","Adam Kozinski",2017,"Central Michigan",6,1,8
"171","Adam Kunkel",2018,"Belmont",25,0,232
"172","Adam Kunkel",2019,"Belmont",33,33,982
"173","Adam Leonard",2010,"Missouri State",35,35,1178
"174","Adam McDermott",2015,"North Dakota",32,1,725
"175","Adam McDermott",2017,"Northern Iowa",8,0,78
"176","Adam Miller",2020,"Illinois",31,31,792
"177","Adam Thomas",2010,"Miami (OH)",7,0,9
"178","Adam Thomas",2011,"Miami (OH)",26,5,287
"179","Adam Thoseby",2013,"South Dakota",30,11,552
"180","Adam Thoseby",2014,"South Dakota",25,0,143
"181","Adam Wing",2012,"Evansville",30,10,467
"182","Adam Wing",2013,"Evansville",33,33,1035
"183","Adam Wing",2014,"Evansville",30,25,825
"184","Adam Wing",2015,"Evansville",34,34,1001
"185","Adam Wolf",2015,"Missouri",7,0,25
"186","Adam Wolf",2016,"Missouri",10,0,22
"187","Adam Wolf",2017,"Missouri",4,0,10
"188","Adam Wolf",2018,"Missouri",4,0,4
"189","Adam Woodbury",2012,"Iowa",38,38,627
"190","Adam Woodbury",2013,"Iowa",33,33,558
"191","Adam Woodbury",2014,"Iowa",34,33,697
"192","Adam Woodbury",2015,"Iowa",33,33,836
"193","Adarius Avery",2017,"Loyola (IL)",12,0,94
"194","Addison Joseph",2013,"Drake",2,0,0
"195","Ade Murkey",2016,"Denver",27,2,287
"196","Ade Murkey",2017,"Denver",30,29,744
"197","Ade Murkey",2018,"Denver",30,26,731
"198","Ade Murkey",2019,"Denver",31,31,1000
"199","Adedeji Ibitayo",2011,"Akron",10,1,91
"200","Adedeji Ibitayo",2012,"Akron",29,2,319
"201","Adedeji Ibitayo",2013,"Akron",29,20,438
"202","Adedeji Ibitayo",2014,"Akron",34,3,660
"203","Adetunji Adedipe",2010,"Ohio",23,0,92
"204","Adham Eleeda",2019,"Northern Kentucky",25,1,384
"205","Adham Eleeda",2020,"Northern Kentucky",20,14,376
"206","Adida Ikongshul",2016,"Western Michigan",21,0,130
"207","Adida Ikongshul",2017,"Western Michigan",16,0,125
"208","Adida Ikongshul",2018,"Western Michigan",28,0,153
"209","Adida Ikongshul",2019,"Western Michigan",16,1,58
"210","Adong Makuoi",2020,"Northern Illinois",17,14,306
"211","Adong Makuoi",2021,"Northern Illinois",30,25,507
"212","Adonis De La Rosa",2016,"Kent State",36,15,477
"213","Adonis De La Rosa",2017,"Kent State",34,32,874
"214","Adonis De La Rosa",2018,"Illinois",26,1,230
"215","Adonis Thomas",2011,"Memphis",19,8,455
"216","Adonis Thomas",2012,"Memphis",36,36,1056
"217","Adreian Payne",2010,"Michigan State",34,6,306
"218","Adreian Payne",2011,"Michigan State",37,36,661
"219","Adreian Payne",2012,"Michigan State",36,24,922
"220","Adreian Payne",2013,"Michigan State",31,28,870
"221","Adrian Burton",2010,"Eastern Michigan",24,4,264
"222","Adrian Chapman",2019,"Indiana",1,0,1
"223","Adrian Diaz",2011,"Kansas State",23,0,231
"224","Adrian Diaz",2012,"Kansas State",26,0,201
"225","Adrian Martin",2018,"Western Michigan",26,1,315
"226","Adrian Martin",2019,"Western Michigan",19,0,158
"227","Adrian Martin",2020,"Western Michigan",20,11,320
"228","Adrian Martin",2021,"Western Michigan",30,14,553
"229","Adrian Nelson",2018,"Northern Kentucky",30,0,251
"230","Adrian Nelson",2019,"Northern Kentucky",29,3,511
"231","Adrian Nelson",2020,"Northern Kentucky",25,25,729
"232","Adrian Nelson",2021,"Northern Kentucky",30,12,614
"233","Adrian Nelson",2022,"Youngstown State",34,34,1093
"234","Adrian Tucker",2010,"Ball State",4,0,10
"235","Adrien Nunez",2018,"Michigan",20,0,39
"236","Adrien Nunez",2019,"Michigan",22,4,167
"237","Adrien Nunez",2020,"Michigan",10,0,34
"238","Adrien Nunez",2021,"Michigan",10,0,31
"239","Adrion Webber",2013,"Oral Roberts",32,1,328
"240","Adrion Webber",2014,"Oral Roberts",34,7,478
"241","Aher Uguak",2018,"Loyola (IL)",34,28,854
"242","Aher Uguak",2019,"Loyola (IL)",32,31,768
"243","Aher Uguak",2020,"Loyola (IL)",31,31,760
"244","Aher Uguak",2021,"Loyola (IL)",32,32,930
"245","Ahmad Gilbert",2015,"Minnesota",21,6,295
"246","Ahmad Gilbert",2016,"Minnesota",15,0,75
"247","Ahmad Rand",2020,"Memphis",3,0,18
"248","Ahmad Rand",2022,"Milwaukee",34,33,642
"249","Ahmad Starks",2014,"Illinois",33,20,794
"250","Ahmad Wagner",2015,"Iowa",32,0,323
"251","Ahmad Wagner",2016,"Iowa",34,18,545
"252","Ahmad Wagner",2017,"Iowa",30,7,272
"253","Ahman Fells",2011,"Illinois-Chicago",11,NA,50
"254","Ahman Fells",2012,"Illinois-Chicago",18,0,102
"255","Ahman Fells",2013,"Illinois-Chicago",25,0,222
"256","Ahman Fells",2014,"Illinois-Chicago",33,22,751
"257","Ahmed Ismail",2018,"IUPUI",33,10,601
"258","Ahmet Jonovic",2022,"Bradley",5,0,24
"259","Ahmet Jonovic",2023,"Bradley",6,2,67
"260","Ahron Ulis",2020,"Iowa",17,0,119
"261","Ahron Ulis",2021,"Iowa",35,0,485
"262","Ahron Ulis",2022,"Iowa",32,27,724
"263","Aidan Braccia",2022,"Belmont",8,0,17
"264","Aidan Fisch",2020,"Pittsburgh",3,0,5
"265","Aidan Fisch",2021,"Pittsburgh",3,0,2
"266","Aidan Fisch",2022,"Pittsburgh",10,0,22
"267","Aidan Hadaway",2022,"Ohio",22,0,154
"268","Aidan Hadaway",2023,"Ohio",6,0,68
"269","Aidan Rubio",2023,"Central Michigan",6,6,151
"270","Aidan Saunders",2018,"Oral Roberts",32,8,558
"271","Aidan Saunders",2019,"Oral Roberts",29,0,243
"272","Aidan Shaw",2022,"Missouri",32,2,338
"273","Aidan Shaw",2023,"Missouri",7,0,117
"274","Aireus Stephenson",2010,"South Dakota State",18,0,129
"275","AJ Bramah",2019,"Robert Morris",33,13,949
"276","AJ Bramah",2020,"Robert Morris",12,11,411
"277","AJ Braun",2021,"Wright State",28,22,418
"278","AJ Braun",2022,"Wright State",33,24,684
"279","AJ Braun",2023,"Wright State",6,6,146
"280","AJ Brown",2022,"Ohio",26,8,538
"281","AJ Brown",2023,"Ohio",6,6,183
"282","AJ Clayton",2021,"Ohio",34,0,340
"283","AJ Clayton",2022,"Ohio",33,16,645
"284","AJ Clayton",2023,"Ohio",6,6,148
"285","AJ Edu",2018,"Toledo",33,2,472
"286","AJ Edu",2020,"Toledo",2,2,47
"287","AJ Edu",2021,"Toledo",2,0,5
"288","AJ Edu",2022,"Toledo",35,0,433
"289","AJ Ferguson",2022,"Southern Illinois",11,0,59
"290","AJ Ferguson",2023,"Southern Illinois",5,5,106
"291","AJ Green",2018,"Northern Iowa",34,34,1017
"292","AJ Green",2019,"Northern Iowa",31,31,1080
"293","AJ Green",2020,"Northern Iowa",3,3,109
"294","AJ Green",2021,"Northern Iowa",31,31,1129
"295","AJ Neal",2023,"Chicago State",8,1,112
"296","AJ Redd",2022,"Illinois",2,0,2
"297","AJ Redd",2023,"Illinois",3,0,7
"298","AJ Storr",2023,"Wisconsin",6,6,149
"299","Ajay Sheldon",2022,"Ohio",29,1,243
"300","Ajay Sheldon",2023,"Ohio",6,0,74
"301","Akeem Odusipe",2021,"Kent State",26,14,186
"302","Akeem Odusipe",2022,"Kent State",13,0,53
"303","Akeem Springs",2012,"Northern Illinois",18,8,356
"304","Akeem Springs",2014,"Milwaukee",28,22,868
"305","Akeem Springs",2015,"Milwaukee",32,32,1022
"306","Akeem Springs",2016,"Minnesota",32,15,768
"307","Akiean Frederick",2017,"Kent State",25,4,251
"308","Akiean Frederick",2018,"Kent State",31,4,582
"309","Akol Arop",2019,"Nebraska",21,0,114
"310","Akol Arop",2021,"Omaha",29,18,538
"311","Akol Arop",2022,"Omaha",20,2,300
"312","Akolda Manyang",2015,"Oklahoma",25,0,199
"313","Akolda Mawein",2021,"Oklahoma",18,0,65
"314","Aksel Bolin",2010,"Northern Illinois",22,0,238
"315","Aksel Bolin",2011,"Northern Illinois",31,29,794
"316","Aksel Bolin",2012,"Northern Illinois",30,25,801
"317","Aksel Bolin",2013,"Northern Illinois",31,NA,800
"318","Al Eichelberger",2018,"Cleveland State",31,12,413
"319","Al Eichelberger",2019,"Cleveland State",29,29,798
"320","Al Eichelberger",2020,"Cleveland State",19,0,308
"321","Al Eichelberger",2021,"Cleveland State",1,0,2
"322","Al Nolen",2010,"Minnesota",14,13,408
"323","Alan Griffin",2018,"Illinois",30,1,234
"324","Alan Griffin",2019,"Illinois",28,1,506
"325","Alan Vest",2015,"Wright State",21,0,214
"326","Alan Vest",2016,"Wright State",20,0,139
"327","Alan Vest",2017,"Wright State",14,0,70
"328","Alan Vest",2018,"Wright State",35,26,808
"329","Albert Owens",2014,"Oral Roberts",34,5,404
"330","Albert Owens",2015,"Oral Roberts",31,26,739
"331","Albert Owens",2016,"Oral Roberts",30,27,934
"332","Albert Owens",2017,"Oral Roberts",31,17,763
"333","Alec Brown",2010,"Green Bay",32,32,804
"334","Alec Brown",2011,"Green Bay",30,29,938
"335","Alec Brown",2012,"Green Bay",34,34,1042
"336","Alec Brown",2013,"Green Bay",30,30,909
"337","Alec Oglesby",2020,"Cleveland State",27,2,432
"338","Alec Peters",2013,"Valparaiso",34,34,1006
"339","Alec Peters",2014,"Valparaiso",34,34,1039
"340","Alec Peters",2015,"Valparaiso",37,37,1186
"341","Alec Peters",2016,"Valparaiso",29,29,1019
"342","Aleem Ford",2017,"Wisconsin",33,20,805
"343","Aleem Ford",2018,"Wisconsin",31,0,428
"344","Aleem Ford",2019,"Wisconsin",31,31,778
"345","Aleem Ford",2020,"Wisconsin",31,31,818
"346","Aleks Abrams",2018,"Miami (OH)",31,2,292
"347","Aleksa Popovic",2018,"Cleveland State",13,0,64
"348","Alex Abreu",2010,"Akron",36,15,708
"349","Alex Abreu",2011,"Akron",31,31,945
"350","Alex Abreu",2012,"Akron",29,28,877
"351","Alex Allbery",2015,"Omaha",7,0,28
"352","Alex Allbery",2016,"Omaha",10,0,46
"353","Alex Allbery",2017,"Omaha",26,1,217
"354","Alex Anglin",2010,"Butler",18,2,77
"355","Alex Arians",2018,"South Dakota State",33,24,949
"356","Alex Arians",2019,"South Dakota State",32,32,949
"357","Alex Arians",2020,"South Dakota State",23,23,732
"358","Alex Arians",2021,"South Dakota State",35,35,930
"359","Alex Arians",2022,"South Dakota State",27,23,863
"360","Alex Austin",2015,"Illinois",31,5,304
"361","Alex Austin",2016,"Illinois",9,0,20
"362","Alex Barlow",2011,"Butler",16,0,77
"363","Alex Barlow",2012,"Butler",35,23,679
"364","Alex Barlow",2013,"Butler",31,31,1021
"365","Alex Barlow",2014,"Butler",34,34,1154
"366","Alex Budke",2012,"Oklahoma State",9,0,12
"367","Alex Budke",2013,"Oklahoma State",7,0,9
"368","Alex Budke",2014,"Oklahoma State",6,0,11
"369","Alex Desir",2010,"Oral Roberts",6,0,14
"370","Alex Dragicevich",2010,"Notre Dame",14,0,62
"371","Alex Dragicevich",2011,"Notre Dame",34,10,709
"372","Alex Dubovitskiy",2016,"Chicago State",22,1,185
"373","Alex Dubovitskiy",2017,"Chicago State",24,1,196
"374","Alex Eppensteiner",2010,"Cincinnati",7,0,10
"375","Alex Eppensteiner",2011,"Cincinnati",8,0,17
"376","Alex Eppensteiner",2012,"Cincinnati",7,1,13
"377","Alex Etherington",2014,"Indiana State",26,0,383
"378","Alex Foree",2016,"Tulsa",1,0,1
"379","Alex Foree",2017,"Tulsa",3,0,3
"380","Alex Foree",2018,"Tulsa",2,1,3
"381","Alex Foster",2016,"Bradley",19,2,103
"382","Alex Gauna",2011,"Michigan State",30,0,142
"383","Alex Gauna",2012,"Michigan State",35,3,214
"384","Alex Gauna",2013,"Michigan State",29,6,206
"385","Alex Holcombe",2018,"Youngstown State",20,0,107
"386","Alex Huibregtse",2020,"Wright State",24,0,350
"387","Alex Huibregtse",2021,"Wright State",3,1,39
"388","Alex Huibregtse",2022,"Wright State",33,12,783
"389","Alex Huibregtse",2023,"Wright State",6,6,169
"390","Alex Illikainen",2015,"Wisconsin",33,0,324
"391","Alex Illikainen",2016,"Wisconsin",27,0,224
"392","Alex Illikainen",2017,"Wisconsin",25,0,170
"393","Alex Kotov",2020,"Illinois State",12,1,96
"394","Alex Kotov",2022,"Illinois State",23,1,139
"395","Alex Lomax",2018,"Memphis",35,11,696
"396","Alex Lomax",2019,"Memphis",31,4,751
"397","Alex Lomax",2020,"Memphis",19,4,410
"398","Alex Lomax",2021,"Memphis",28,23,751
"399","Alex Lomax",2022,"Memphis",24,16,664
"400","Alex Marcotullio",2010,"Northwestern",34,7,788
"401","Alex Marcotullio",2011,"Northwestern",29,6,598
"402","Alex Marcotullio",2012,"Northwestern",31,6,634
"403","Alex Matthews",2020,"Evansville",6,0,58
"404","Alex Moffatt",2016,"Memphis",9,1,25
"405","Alex Moffatt",2017,"Memphis",2,0,7
"406","Alex O'Connell",2020,"Creighton",24,0,233
"407","Alex O'Connell",2021,"Creighton",35,35,1139
"408","Alex Olah",2012,"Northwestern",31,29,687
"409","Alex Olah",2013,"Northwestern",33,32,974
"410","Alex Olah",2014,"Northwestern",32,32,941
"411","Alex Olah",2015,"Northwestern",26,21,623
"412","Alex Olsen",2012,"Creighton",17,0,33
"413","Alex Olsen",2013,"Creighton",13,0,27
"414","Alex Oriakhi",2012,"Missouri",34,34,878
"415","Alex Phillips",2012,"Omaha",31,26,654
"416","Alex Phillips",2013,"Omaha",31,1,507
"417","Alex Pickert",2010,"Denver",6,0,19
"418","Alex Pickert",2011,"Denver",11,0,16
"419","Alex Potuzak",2010,"Kansas State",10,0,19
"420","Alex Prahl",2014,"Milwaukee",20,0,87
"421","Alex Prahl",2015,"Milwaukee",9,0,25
"422","Alex Prahl",2016,"Milwaukee",6,1,13
"423","Alex Prahl",2017,"Milwaukee",11,0,20
"424","Alex Raiford",2023,"Chicago State",1,0,2
"425","Alex Rogers",2012,"Ohio State",10,0,21
"426","Alex Rossi",2012,"Valparaiso",9,0,46
"427","Alex Rubin",2010,"Illinois State",31,19,691
"428","Alex Vargo",2020,"Youngstown State",22,5,303
"429","Alex Wade",2022,"Notre Dame",5,0,6
"430","Alex Wade",2023,"Notre Dame",2,0,7
"431","Alex Welhouse",2012,"Omaha",31,31,836
"432","Alex Wilbourn",2017,"Youngstown State",4,0,14
"433","Alex Wolf",2010,"Western Michigan",33,NA,583
"434","Alex Young",2010,"IUPUI",33,NA,1208
"435","Alex Young",2011,"IUPUI",32,31,1050
"436","Alfonso Plummer",2021,"Illinois",33,29,995
"437","Alfonzo McKinnie",2013,"Green Bay",9,0,115
"438","Alfonzo McKinnie",2014,"Green Bay",33,20,713
"439","Alfredo Boglio",2023,"Robert Morris",6,2,115
"440","Ali Abdou Dibba",2021,"Chicago State",5,2,130
"441","Ali Ali",2019,"Akron",31,11,361
"442","Ali Ali",2020,"Akron",23,23,559
"443","Ali Ali",2021,"Akron",34,32,1163
"444","Ali Ali",2022,"Butler",18,12,491
"445","Ali Barnes",2015,"Miami (OH)",14,1,195
"446","Ali Farhat",2013,"Eastern Michigan",12,0,29
"447","Alihan Demir",2019,"Minnesota",31,30,770
"448","Alize Johnson",2016,"Missouri State",33,33,997
"449","Alize Johnson",2017,"Missouri State",33,33,1028
"450","Alize Travis",2018,"Northern Illinois",7,2,88
"451","Aljami Durham",2017,"Indiana",31,9,583
"452","Aljami Durham",2018,"Indiana",34,30,974
"453","Aljami Durham",2019,"Indiana",32,32,846
"454","Aljami Durham",2020,"Indiana",26,26,845
"455","Aljaz Kunc",2021,"Iowa State",35,10,785
"456","Aljaz Kunc",2022,"Iowa State",23,16,571
"457","Allan Saint-Gelais",2011,"South Dakota",27,17,478
"458","Allante Holston",2018,"Indiana State",31,19,664
"459","Allen Roberts",2010,"Miami (OH)",33,17,793
"460","Allen Roberts",2012,"Miami (OH)",29,21,796
"461","Almar Atlason",2023,"Bradley",6,0,114
"462","Alonde Legrand",2019,"Detroit Mercy",29,20,499
"463","Alondes Williams",2019,"Oklahoma",31,10,516
"464","Alondes Williams",2020,"Oklahoma",24,14,444
"465","Alonzo Gaffney",2019,"Ohio State",17,0,115
"466","Alonzo Nelson-Ododa",2015,"Pittsburgh",31,5,251
"467","Alonzo Traylor",2012,"North Dakota",8,0,132
"468","Alonzo Traylor",2013,"North Dakota",31,6,515
"469","Alonzo Verge",2021,"Nebraska",31,31,881
"470","Alonzo Walker",2016,"Kent State",28,2,309
"471","Alou Dillon",2018,"South Dakota State",18,2,125
"472","Alou Dillon",2019,"South Dakota State",24,0,170
"473","Alperen Kurnaz",2018,"Denver",27,3,295
"474","Alperen Kurnaz",2019,"Denver",31,16,515
"475","Alston Andrews",2020,"Illinois State",12,1,89
"476","Alston Andrews",2021,"Illinois State",14,0,67
"477","Alston Andrews",2022,"Illinois State",7,0,14
"478","Alston Mason",2021,"Oklahoma",18,0,111
"479","Alston Mason",2022,"Missouri State",31,20,838
"480","Alston Mason",2023,"Missouri State",6,6,194
"481","Alterique Gilbert",2020,"Wichita State",22,20,652
"482","Alvaro Folgueiras",2023,"Robert Morris",6,0,82
"483","Alvin Ellis",2013,"Michigan State",36,1,283
"484","Alvin Ellis",2014,"Michigan State",32,1,274
"485","Alvin Ellis",2015,"Michigan State",33,0,251
"486","Alvin Ellis",2016,"Michigan State",35,8,678
"487","Amaad Wainright",2017,"Kansas State",36,0,470
"488","Amani Drummond",2022,"Central Michigan",15,3,230
"489","Amani Hansberry",2023,"Illinois",5,0,75
"490","Amani Lyles",2022,"Akron",28,0,128
"491","Amani Lyles",2023,"Akron",3,0,29
"492","Amanze Egekeze",2014,"Belmont",33,24,661
"493","Amanze Egekeze",2015,"Belmont",31,31,705
"494","Amanze Egekeze",2016,"Belmont",30,29,817
"495","Amanze Egekeze",2017,"Belmont",33,33,1139
"496","Amar Kuljuhovic",2023,"North Dakota",6,1,118
"497","Amari Davis",2019,"Green Bay",33,27,946
"498","Amari Davis",2020,"Green Bay",25,24,883
"499","Amari Davis",2021,"Missouri",32,13,870
"500","Amari Davis",2022,"Wright State",32,21,634
"501","Amari Jedkins",2023,"Green Bay",6,2,107
