"","school","conf","div","season"
"2278","Iowa","Western",NA,1923
"2279","Pittsburgh","Ind",NA,1923
"2280","Washington & Jefferson","Ind",NA,1923
"2281","Colgate","Ind",NA,1923
"2282","Rutgers","Ind",NA,1923
"2283","Florida","Southern",NA,1923
"2284","Dartmouth","Ind",NA,1923
"2285","Pennsylvania","Ind",NA,1923
"2286","Wisconsin","Western",NA,1923
"2287","North Carolina","Southern",NA,1923
"2288","Utah State","RMC",NA,1923
"2289","Clemson","Southern",NA,1923
"2290","Virginia Tech","Southern",NA,1923
"2291","Idaho","PCC",NA,1923
"2292","Southern California","PCC",NA,1923
"2293","Baylor","SWC",NA,1923
"2294","Utah","RMC",NA,1923
"2295","Texas A&M","SWC",NA,1923
"2296","Georgia Tech","Southern",NA,1923
"2297","Arkansas","SWC",NA,1923
"2298","Kansas","MVIAA",NA,1923
"2299","Washington & Lee","Southern",NA,1923
"2300","Ohio State","Western",NA,1923
"2301","Brown","Ind",NA,1923
"2302","Georgia","Southern",NA,1923
"2303","Auburn","Southern",NA,1923
"2304","William & Mary","Ind",NA,1923
"2305","Kentucky","Southern",NA,1923
"2306","Drake","MVIAA",NA,1923
"2307","Virginia","Southern",NA,1923
"2308","Sewanee","Southern",NA,1923
"2309","Wake Forest","Ind",NA,1923
"2310","Lehigh","Ind",NA,1923
"2311","South Carolina","Southern",NA,1923
"2312","Carnegie Mellon","Ind",NA,1923
"2313","The Citadel","Ind",NA,1923
"2314","Montana State","RMC",NA,1923
"2315","Oregon","PCC",NA,1923
"2316","Tulane","Southern",NA,1923
"2317","Denver","RMC",NA,1923
"2318","Presbyterian","Ind",NA,1923
"2319","Princeton","Ind",NA,1923
"2320","Mississippi State","Southern",NA,1923
"2321","Kansas State","MVIAA",NA,1923
"2322","Harvard","Ind",NA,1923
"2323","Oklahoma","MVIAA",NA,1923
"2324","Duke","Ind",NA,1923
"2325","Gonzaga","Ind",NA,1923
"2326","Davidson","Ind",NA,1923
"2327","Tennessee","Southern",NA,1923
"2328","Iowa State","MVIAA",NA,1923
"2329","Washington State","PCC",NA,1923
"2330","Mississippi College","Ind",NA,1923
"2331","North Carolina State","Southern",NA,1923
"2332","Northwestern","Western",NA,1923
"2333","Montana","Ind",NA,1923
"2334","Brigham Young","RMC",NA,1923
"2335","Missouri","MVIAA",NA,1923
"2336","Oglethorpe","Ind",NA,1923
"2337","Purdue","Western",NA,1923
"2338","Colorado Mines","RMC",NA,1923
"2339","Oregon State","PCC",NA,1923
"2340","Louisiana State","Southern",NA,1923
"2341","Mercer","Ind",NA,1923
"2342","Wofford","Ind",NA,1923
"2343","Samford","Ind",NA,1923
"2344","Columbia","Ind",NA,1923
"2345","Richmond","Ind",NA,1923
"2346","Indiana","Western",NA,1923
"2347","Mississippi","Southern",NA,1923
"2348","Oklahoma State","SWC",NA,1923
"2349","Newberry","Ind",NA,1923
"2350","Rice","SWC",NA,1923
"2351","Northern Colorado","RMC",NA,1923
"2352","Chattanooga","Ind",NA,1923
"2353","Whitman","Ind",NA,1923
"2354","Texas Christian","SWC",NA,1923
"2355","Boston University","Ind",NA,1923
"2356","Washington (MO)","MVIAA",NA,1923
"2357","Wyoming","RMC",NA,1923
"2358","Grinnell","MVIAA",NA,1923
"2359","Notre Dame","Ind",NA,1924
"2360","Alabama","Southern",NA,1924
"2361","Yale","Ind",NA,1924
"2362","Illinois","Western",NA,1924
"2363","West Virginia","Ind",NA,1924
"2364","Centre","Ind",NA,1924
"2365","Dartmouth","Ind",NA,1924
"2366","Idaho","PCC",NA,1924
"2367","Stanford","PCC",NA,1924
"2368","Florida","Southern",NA,1924
"2369","Chicago","Western",NA,1924
"2370","Georgia","Southern",NA,1924
"2371","Army","Ind",NA,1924
"2372","Washington","PCC",NA,1924
"2373","Tulane","Southern",NA,1924
"2374","Southern California","PCC",NA,1924
"2375","Washington & Lee","Southern",NA,1924
"2376","Georgia Tech","Southern",NA,1924
"2377","Nebraska","MVIAA",NA,1924
"2378","Michigan","Western",NA,1924
"2379","California","PCC",NA,1924
"2380","Pennsylvania","Ind",NA,1924
"2381","Wake Forest","Ind",NA,1924
"2382","Texas A&M","SWC",NA,1924
"2383","Colorado","RMC",NA,1924
"2384","Purdue","Western",NA,1924
"2385","Missouri","MVIAA",NA,1924
"2386","Penn State","Ind",NA,1924
"2387","Gonzaga","Ind",NA,1924
"2388","Columbia","Ind",NA,1924
"2389","Syracuse","Ind",NA,1924
"2390","Princeton","Ind",NA,1924
"2391","Vanderbilt","Southern",NA,1924
"2392","Iowa","Western",NA,1924
"2393","Brown","Ind",NA,1924
"2394","Arkansas","SWC",NA,1924
"2395","Drake","MVIAA",NA,1924
"2396","Virginia Military Institute","Southern",NA,1924
"2397","Northwestern","Western",NA,1924
"2398","Pittsburgh","Ind",NA,1924
"2399","Montana State","RMC",NA,1924
"2400","Virginia Tech","Southern",NA,1924
"2401","Baylor","SWC",NA,1924
"2402","Colgate","Ind",NA,1924
"2403","William & Mary","Ind",NA,1924
"2404","Minnesota","Western",NA,1924
"2405","Oklahoma State","SWC",NA,1924
"2406","Auburn","Southern",NA,1924
"2407","Ohio State","Western",NA,1924
"2408","Kentucky","Southern",NA,1924
"2409","Texas","SWC",NA,1924
"2410","Louisiana State","Southern",NA,1924
"2411","Utah State","RMC",NA,1924
"2412","Sewanee","Southern",NA,1924
"2413","Iowa State","MVIAA",NA,1924
"2414","Washington & Jefferson","Ind",NA,1924
"2415","Wisconsin","Western",NA,1924
"2416","Carnegie Mellon","Ind",NA,1924
"2417","Utah","RMC",NA,1924
"2418","Oregon","PCC",NA,1924
"2419","Virginia","Southern",NA,1924
"2420","Kansas","MVIAA",NA,1924
"2421","Cornell","Ind",NA,1924
"2422","Colorado State","RMC",NA,1924
"2423","South Carolina","Southern",NA,1924
"2424","Montana","PCC",NA,1924
"2425","Southern Methodist","SWC",NA,1924
"2426","Washington State","PCC",NA,1924
"2427","Indiana","Western",NA,1924
"2428","Harvard","Ind",NA,1924
"2429","Colorado College","RMC",NA,1924
"2430","North Carolina","Southern",NA,1924
"2431","Rice","SWC",NA,1924
"2432","Oregon State","PCC",NA,1924
"2433","Maryland","Southern",NA,1924
"2434","Oglethorpe","Ind",NA,1924
"2435","Kansas State","MVIAA",NA,1924
"2436","Mercer","Ind",NA,1924
"2437","Mississippi State","Southern",NA,1924
"2438","Denver","RMC",NA,1924
"2439","Davidson","Ind",NA,1924
"2440","North Carolina State","Southern",NA,1924
"2441","Texas Christian","SWC",NA,1924
"2442","Duke","Ind",NA,1924
"2443","Tennessee","Southern",NA,1924
"2444","Brigham Young","RMC",NA,1924
"2445","Navy","Ind",NA,1924
"2446","The Citadel","Ind",NA,1924
"2447","Oklahoma","MVIAA",NA,1924
"2448","Mississippi College","Ind",NA,1924
"2449","Newberry","Ind",NA,1924
"2450","Furman","Ind",NA,1924
"2451","Grinnell","MVIAA",NA,1924
"2452","Samford","Ind",NA,1924
"2453","Colorado Mines","RMC",NA,1924
"2454","Washington (MO)","MVIAA",NA,1924
"2455","Clemson","Southern",NA,1924
"2456","Mississippi","Southern",NA,1924
"2457","Birmingham-Southern","Ind",NA,1924
"2458","Wyoming","RMC",NA,1924
"2459","Millsaps","Ind",NA,1924
"2460","Richmond","Ind",NA,1924
"2461","Boston University","Ind",NA,1924
"2462","Wofford","Ind",NA,1924
"2463","Whitman","Ind",NA,1924
"2464","Western State","Ind",NA,1924
"2465","Presbyterian","Ind",NA,1924
"2466","Chattanooga","Ind",NA,1924
"2467","Northern Colorado","RMC",NA,1924
"2468","Erskine","Ind",NA,1924
"2469","Regis (CO)","Ind",NA,1924
"2470","Michigan","Western",NA,1925
"2471","Alabama","Southern",NA,1925
"2472","Dartmouth","Ind",NA,1925
"2473","Yale","Ind",NA,1925
"2474","Tulane","Southern",NA,1925
"2475","Wisconsin","Western",NA,1925
"2476","Washington","PCC",NA,1925
"2477","Georgia Tech","Southern",NA,1925
"2478","Southern California","PCC",NA,1925
"2479","Minnesota","Western",NA,1925
"2480","Nebraska","MVIAA",NA,1925
"2481","North Carolina","Southern",NA,1925
"2482","Princeton","Ind",NA,1925
"2483","Missouri","MVIAA",NA,1925
"2484","Pittsburgh","Ind",NA,1925
"2485","Notre Dame","Ind",NA,1925
"2486","Georgia","Southern",NA,1925
"2487","Florida","Southern",NA,1925
"2488","West Virginia","Ind",NA,1925
"2489","Virginia","Southern",NA,1925
"2490","Texas","SWC",NA,1925
"2491","Colgate","Ind",NA,1925
"2492","Syracuse","Ind",NA,1925
"2493","Vanderbilt","Southern",NA,1925
"2494","Illinois","Western",NA,1925
"2495","Stanford","PCC",NA,1925
"2496","Texas A&M","SWC",NA,1925
"2497","Cornell","Ind",NA,1925
"2498","Iowa","Western",NA,1925
"2499","Pennsylvania","Ind",NA,1925
"2500","South Carolina","Southern",NA,1925
"2501","Wake Forest","Ind",NA,1925
"2502","Navy","Ind",NA,1925
"2503","Army","Ind",NA,1925
"2504","Utah State","RMC",NA,1925
"2505","Colorado State","RMC",NA,1925
"2506","Southern Methodist","SWC",NA,1925
"2507","Oregon State","PCC",NA,1925
"2508","Oklahoma","MVIAA",NA,1925
"2509","Brown","Ind",NA,1925
"2510","Furman","Ind",NA,1925
"2511","Drake","MVIAA",NA,1925
"2512","Northwestern","Western",NA,1925
"2513","Washington & Lee","Southern",NA,1925
"2514","Columbia","Ind",NA,1925
"2515","Davidson","Ind",NA,1925
"2516","Utah","RMC",NA,1925
"2517","Kansas State","MVIAA",NA,1925
"2518","Iowa State","MVIAA",NA,1925
"2519","Ohio State","Western",NA,1925
"2520","Chicago","Western",NA,1925
"2521","California","PCC",NA,1925
"2522","Carnegie Mellon","Ind",NA,1925
"2523","Indiana","Western",NA,1925
"2524","Sewanee","Southern",NA,1925
"2525","Tennessee","Southern",NA,1925
"2526","Mississippi State","Southern",NA,1925
"2527","Purdue","Western",NA,1925
"2528","The Citadel","Ind",NA,1925
"2529","Virginia Military Institute","Southern",NA,1925
"2530","Colorado","RMC",NA,1925
"2531","Auburn","Southern",NA,1925
"2532","Penn State","Ind",NA,1925
"2533","Washington & Jefferson","Ind",NA,1925
"2534","Harvard","Ind",NA,1925
"2535","Kentucky","Southern",NA,1925
"2536","Texas Christian","SWC",NA,1925
"2537","William & Mary","Ind",NA,1925
"2538","Wyoming","RMC",NA,1925
"2539","Louisiana State","Southern",NA,1925
"2540","Montana State","RMC",NA,1925
"2541","Mississippi","Southern",NA,1925
"2542","Gonzaga","Ind",NA,1925
"2543","North Carolina State","Southern",NA,1925
"2544","Kansas","MVIAA",NA,1925
"2545","Newberry","Ind",NA,1925
"2546","Montana","PCC",NA,1925
"2547","Virginia Tech","Southern",NA,1925
"2548","Mercer","Ind",NA,1925
"2549","Brigham Young","RMC",NA,1925
"2550","Grinnell","MVIAA",NA,1925
"2551","Michigan State","Ind",NA,1925
"2552","Maryland","Southern",NA,1925
"2553","Oglethorpe","Ind",NA,1925
"2554","Arkansas","SWC",NA,1925
"2555","Baylor","SWC",NA,1925
"2556","Washington State","PCC",NA,1925
"2557","Rice","SWC",NA,1925
"2558","Wofford","Ind",NA,1925
"2559","Hampden-Sydney","Ind",NA,1925
"2560","Presbyterian","Ind",NA,1925
"2561","Washington (MO)","MVIAA",NA,1925
"2562","Colorado College","RMC",NA,1925
"2563","Duke","Ind",NA,1925
"2564","Idaho","PCC",NA,1925
"2565","Oregon","PCC",NA,1925
"2566","Richmond","Ind",NA,1925
"2567","Centre","Ind",NA,1925
"2568","Northern Colorado","RMC",NA,1925
"2569","Western State","RMC",NA,1925
"2570","Clemson","Southern",NA,1925
"2571","Oklahoma State","MVIAA",NA,1925
"2572","Denver","RMC",NA,1925
"2573","Colorado Mines","RMC",NA,1925
"2574","Michigan","Western",NA,1926
"2575","Alabama","Southern",NA,1926
"2576","Northwestern","Western",NA,1926
"2577","Notre Dame","Ind",NA,1926
"2578","Southern California","PCC",NA,1926
"2579","Ohio State","Western",NA,1926
"2580","Southern Methodist","SWC",NA,1926
"2581","Navy","Ind",NA,1926
"2582","Vanderbilt","Southern",NA,1926
"2583","Minnesota","Western",NA,1926
"2584","Stanford","PCC",NA,1926
"2585","Oregon State","PCC",NA,1926
"2586","Pennsylvania","Ind",NA,1926
"2587","Army","Ind",NA,1926
"2588","Brown","Ind",NA,1926
"2589","Illinois","Western",NA,1926
"2590","Washington","PCC",NA,1926
"2591","Colgate","Ind",NA,1926
"2592","Wisconsin","Western",NA,1926
"2593","Tennessee","Southern",NA,1926
"2594","Carnegie Mellon","Ind",NA,1926
"2595","Missouri","MVIAA",NA,1926
"2596","Utah","RMC",NA,1926
"2597","Nebraska","MVIAA",NA,1926
"2598","Cornell","Ind",NA,1926
"2599","Washington State","PCC",NA,1926
"2600","Texas","SWC",NA,1926
"2601","Syracuse","Ind",NA,1926
"2602","Purdue","Western",NA,1926
"2603","Texas A&M","SWC",NA,1926
"2604","Furman","Ind",NA,1926
"2605","Dartmouth","Ind",NA,1926
"2606","Georgia","Southern",NA,1926
"2607","Louisiana State","Southern",NA,1926
"2608","Presbyterian","Ind",NA,1926
"2609","Iowa","Western",NA,1926
"2610","Columbia","Ind",NA,1926
"2611","Washington & Jefferson","Ind",NA,1926
"2612","Oklahoma","MVIAA",NA,1926
"2613","Virginia","Southern",NA,1926
"2614","Yale","Ind",NA,1926
"2615","Davidson","Ind",NA,1926
"2616","Princeton","Ind",NA,1926
"2617","South Carolina","Southern",NA,1926
"2618","Georgia Tech","Southern",NA,1926
"2619","Kansas State","MVIAA",NA,1926
"2620","Grinnell","MVIAA",NA,1926
"2621","Pittsburgh","Ind",NA,1926
"2622","Wake Forest","Ind",NA,1926
"2623","Texas Christian","SWC",NA,1926
"2624","Penn State","Ind",NA,1926
"2625","Mississippi State","Southern",NA,1926
"2626","Arkansas","SWC",NA,1926
"2627","Idaho","PCC",NA,1926
"2628","Virginia Tech","Southern",NA,1926
"2629","Chicago","Western",NA,1926
"2630","Indiana","Western",NA,1926
"2631","Maryland","Southern",NA,1926
"2632","Colorado State","RMC",NA,1926
"2633","West Virginia","Ind",NA,1926
"2634","Sewanee","Southern",NA,1926
"2635","Baylor","SWC",NA,1926
"2636","North Carolina","Southern",NA,1926
"2637","Oregon","PCC",NA,1926
"2638","Iowa State","MVIAA",NA,1926
"2639","Washington & Lee","Southern",NA,1926
"2640","Montana","PCC",NA,1926
"2641","Utah State","RMC",NA,1926
"2642","Auburn","Southern",NA,1926
"2643","Colorado College","RMC",NA,1926
"2644","The Citadel","Ind",NA,1926
"2645","Tulane","Southern",NA,1926
"2646","Kentucky","Southern",NA,1926
"2647","Oklahoma State","MVIAA",NA,1926
"2648","Rice","SWC",NA,1926
"2649","Harvard","Ind",NA,1926
"2650","Drake","MVIAA",NA,1926
"2651","Mississippi","Southern",NA,1926
"2652","Virginia Military Institute","Southern",NA,1926
"2653","Denver","RMC",NA,1926
"2654","Montana State","RMC",NA,1926
"2655","California","PCC",NA,1926
"2656","Michigan State","Ind",NA,1926
"2657","Duke","Ind",NA,1926
"2658","Florida","Southern",NA,1926
"2659","North Carolina State","Southern",NA,1926
"2660","Northern Colorado","RMC",NA,1926
"2661","Kansas","MVIAA",NA,1926
"2662","Colorado","RMC",NA,1926
"2663","Wyoming","RMC",NA,1926
"2664","Washington (MO)","MVIAA",NA,1926
"2665","Wofford","Ind",NA,1926
"2666","Brigham Young","RMC",NA,1926
"2667","Clemson","Southern",NA,1926
"2668","Colorado Mines","RMC",NA,1926
"2669","Western State","RMC",NA,1926
"2670","Georgia","Southern",NA,1927
"2671","Yale","Ind",NA,1927
"2672","Notre Dame","Ind",NA,1927
"2673","Minnesota","Western",NA,1927
"2674","Michigan","Western",NA,1927
"2675","Pittsburgh","Ind",NA,1927
"2676","Texas A&M","SWC",NA,1927
"2677","Illinois","Western",NA,1927
"2678","Southern California","PCC",NA,1927
"2679","Tennessee","Southern",NA,1927
"2680","Nebraska","MVIAA",NA,1927
"2681","Army","Ind",NA,1927
"2682","Dartmouth","Ind",NA,1927
"2683","Vanderbilt","Southern",NA,1927
"2684","Princeton","Ind",NA,1927
"2685","Navy","Ind",NA,1927
"2686","Georgetown","Ind",NA,1927
"2687","Georgia Tech","Southern",NA,1927
"2688","Purdue","Western",NA,1927
"2689","Southern Methodist","SWC",NA,1927
"2690","New York University","Ind",NA,1927
"2691","Detroit Mercy","Ind",NA,1927
"2692","Furman","Ind",NA,1927
"2693","Chicago","Western",NA,1927
"2694","North Carolina State","Southern",NA,1927
"2695","Washington","PCC",NA,1927
"2696","Washington & Jefferson","Ind",NA,1927
"2697","Pennsylvania","Ind",NA,1927
"2698","Colorado State","RMC",NA,1927
"2699","Missouri","MVIAA",NA,1927
"2700","Penn State","Ind",NA,1927
"2701","Arkansas","SWC",NA,1927
"2702","Alabama","Southern",NA,1927
"2703","Iowa","Western",NA,1927
"2704","California","PCC",NA,1927
"2705","Wisconsin","Western",NA,1927
"2706","Indiana","Western",NA,1927
"2707","Stanford","PCC",NA,1927
"2708","Florida","Southern",NA,1927
"2709","Texas","SWC",NA,1927
"2710","Northwestern","Western",NA,1927
"2711","Ohio State","Western",NA,1927
"2712","Carnegie Mellon","Ind",NA,1927
"2713","Marquette","Ind",NA,1927
"2714","Colorado College","RMC",NA,1927
"2715","Denver","RMC",NA,1927
"2716","Oregon State","PCC",NA,1927
"2717","Creighton","Ind",NA,1927
"2718","Lafayette","Ind",NA,1927
"2719","Colgate","Ind",NA,1927
"2720","Virginia Military Institute","Southern",NA,1927
"2721","Iowa State","MVIAA",NA,1927
"2722","Virginia","Southern",NA,1927
"2723","Columbia","Ind",NA,1927
"2724","Virginia Tech","Southern",NA,1927
"2725","Oklahoma","MVIAA",NA,1927
"2726","Harvard","Ind",NA,1927
"2727","Washington & Lee","Southern",NA,1927
"2728","Duke","Ind",NA,1927
"2729","Syracuse","Ind",NA,1927
"2730","Oklahoma State","MVIAA",NA,1927
"2731","Mississippi","Southern",NA,1927
"2732","Texas Christian","SWC",NA,1927
"2733","Idaho","PCC",NA,1927
"2734","Washington State","PCC",NA,1927
"2735","Utah","RMC",NA,1927
"2736","Mississippi State","Southern",NA,1927
"2737","Louisiana State","Southern",NA,1927
"2738","North Carolina","Southern",NA,1927
"2739","West Virginia","Ind",NA,1927
"2740","Cornell","Ind",NA,1927
"2741","Kansas State","MVIAA",NA,1927
"2742","Maryland","Southern",NA,1927
"2743","Brown","Ind",NA,1927
"2744","Utah State","RMC",NA,1927
"2745","Clemson","Southern",NA,1927
"2746","Tulane","Southern",NA,1927
"2747","Wyoming","RMC",NA,1927
"2748","Washington (MO)","MVIAA",NA,1927
"2749","Drake","MVIAA",NA,1927
"2750","Oregon","PCC",NA,1927
"2751","Michigan State","Ind",NA,1927
"2752","Kansas","MVIAA",NA,1927
"2753","Montana State","RMC",NA,1927
"2754","Kentucky","Southern",NA,1927
"2755","Sewanee","Southern",NA,1927
"2756","Davidson","Ind",NA,1927
"2757","Colorado","RMC",NA,1927
"2758","Auburn","Southern",NA,1927
"2759","Montana","PCC",NA,1927
"2760","South Carolina","Southern",NA,1927
"2761","Baylor","SWC",NA,1927
"2762","Rice","SWC",NA,1927
"2763","Wake Forest","Ind",NA,1927
"2764","Grinnell","MVIAA",NA,1927
"2765","Brigham Young","RMC",NA,1927
"2766","Colorado Mines","RMC",NA,1927
"2767","Northern Colorado","RMC",NA,1927
"2768","Western State","RMC",NA,1927
"2769","Georgia Tech","Southern",NA,1928
"2770","Southern California","PCC",NA,1928
"2771","Florida","Southern",NA,1928
"2772","Tennessee","Southern",NA,1928
"2773","Alabama","Southern",NA,1928
"2774","Carnegie Mellon","Ind",NA,1928
"2775","New York University","Ind",NA,1928
"2776","Minnesota","Western",NA,1928
"2777","Wisconsin","Western",NA,1928
"2778","Vanderbilt","Southern",NA,1928
"2779","Georgetown","Ind",NA,1928
"2780","Detroit Mercy","Ind",NA,1928
"2781","Pennsylvania","Ind",NA,1928
"2782","Pittsburgh","Ind",NA,1928
"2783","Army","Ind",NA,1928
"2784","Ohio State","Western",NA,1928
"2785","Illinois","Western",NA,1928
"2786","Nebraska","Big 6",NA,1928
"2787","Louisiana State","Southern",NA,1928
"2788","Oregon State","PCC",NA,1928
"2789","Northwestern","Western",NA,1928
"2790","Texas","SWC",NA,1928
"2791","Stanford","PCC",NA,1928
"2792","Harvard","Ind",NA,1928
"2793","Oregon","PCC",NA,1928
"2794","Iowa","Western",NA,1928
"2795","Purdue","Western",NA,1928
"2796","Utah","RMC",NA,1928
"2797","Arkansas","SWC",NA,1928
"2798","Tulane","Southern",NA,1928
"2799","Baylor","SWC",NA,1928
"2800","Washington State","PCC",NA,1928
"2801","California","PCC",NA,1928
"2802","Colgate","Ind",NA,1928
"2803","Colorado State","RMC",NA,1928
"2804","Yale","Ind",NA,1928
"2805","Princeton","Ind",NA,1928
"2806","Southern Methodist","SWC",NA,1928
"2807","Texas Christian","SWC",NA,1928
"2808","Notre Dame","Ind",NA,1928
"2809","Kentucky","Southern",NA,1928
"2810","Virginia Tech","Southern",NA,1928
"2811","West Virginia","Ind",NA,1928
"2812","Drake","MVC",NA,1928
"2813","Mississippi","Southern",NA,1928
"2814","Indiana","Western",NA,1928
"2815","Colorado","RMC",NA,1928
"2816","Brown","Ind",NA,1928
"2817","Dartmouth","Ind",NA,1928
"2818","Washington","PCC",NA,1928
"2819","Georgia","Southern",NA,1928
"2820","Navy","Ind",NA,1928
"2821","Michigan","Western",NA,1928
"2822","Texas A&M","SWC",NA,1928
"2823","Clemson","Southern",NA,1928
"2824","North Carolina","Southern",NA,1928
"2825","Maryland","Southern",NA,1928
"2826","Virginia Military Institute","Southern",NA,1928
"2827","Missouri","Big 6",NA,1928
"2828","Columbia","Ind",NA,1928
"2829","South Carolina","Southern",NA,1928
"2830","Colorado College","RMC",NA,1928
"2831","North Carolina State","Southern",NA,1928
"2832","Utah State","RMC",NA,1928
"2833","Oklahoma","Big 6",NA,1928
"2834","Syracuse","Ind",NA,1928
"2835","Washington & Lee","Southern",NA,1928
"2836","Duke","Southern",NA,1928
"2837","Michigan State","Ind",NA,1928
"2838","Cornell","Ind",NA,1928
"2839","UCLA","PCC",NA,1928
"2840","Fordham","Ind",NA,1928
"2841","Penn State","Ind",NA,1928
"2842","Furman","Ind",NA,1928
"2843","Marquette","Ind",NA,1928
"2844","Virginia","Southern",NA,1928
"2845","Northern Colorado","RMC",NA,1928
"2846","Iowa State","Big 6",NA,1928
"2847","Denver","RMC",NA,1928
"2848","Brigham Young","RMC",NA,1928
"2849","Creighton","MVC",NA,1928
"2850","Idaho","PCC",NA,1928
"2851","Mississippi State","Southern",NA,1928
"2852","Chicago","Western",NA,1928
"2853","Kansas State","Big 6",NA,1928
"2854","Grinnell","MVC",NA,1928
"2855","Kansas","Big 6",NA,1928
"2856","Sewanee","Southern",NA,1928
"2857","Auburn","Southern",NA,1928
"2858","Washington & Jefferson","Ind",NA,1928
"2859","Montana","PCC",NA,1928
"2860","Montana State","RMC",NA,1928
"2861","Rice","SWC",NA,1928
"2862","Washington (MO)","MVC",NA,1928
"2863","Davidson","Ind",NA,1928
"2864","Wake Forest","Ind",NA,1928
"2865","Wyoming","RMC",NA,1928
"2866","Colorado Mines","RMC",NA,1928
"2867","Oklahoma State","MVC",NA,1928
"2868","Western State","RMC",NA,1928
"2869","Southern California","PCC",NA,1929
"2870","Notre Dame","Ind",NA,1929
"2871","Utah","RMC",NA,1929
"2872","Purdue","Western",NA,1929
"2873","Illinois","Western",NA,1929
"2874","North Carolina","Southern",NA,1929
"2875","Colgate","Ind",NA,1929
"2876","Tennessee","Southern",NA,1929
"2877","Pittsburgh","Ind",NA,1929
"2878","Tulane","Southern",NA,1929
"2879","Stanford","PCC",NA,1929
"2880","Kentucky","Southern",NA,1929
"2881","Texas Christian","SWC",NA,1929
"2882","Dartmouth","Ind",NA,1929
"2883","Iowa","Western",NA,1929
"2884","Minnesota","Western",NA,1929
"2885","Vanderbilt","Southern",NA,1929
"2886","Alabama","Southern",NA,1929
"2887","Texas","SWC",NA,1929
"2888","Texas A&M","SWC",NA,1929
"2889","Navy","Ind",NA,1929
"2890","Florida","Southern",NA,1929
"2891","California","PCC",NA,1929
"2892","Michigan","Western",NA,1929
"2893","Washington State","PCC",NA,1929
"2894","Southern Methodist","SWC",NA,1929
"2895","Carnegie Mellon","Ind",NA,1929
"2896","Detroit Mercy","Ind",NA,1929
"2897","Georgia","Southern",NA,1929
"2898","Nebraska","Big 6",NA,1929
"2899","Arkansas","SWC",NA,1929
"2900","Wisconsin","Western",NA,1929
"2901","Yale","Ind",NA,1929
"2902","Army","Ind",NA,1929
"2903","Virginia Military Institute","Southern",NA,1929
"2904","Cornell","Ind",NA,1929
"2905","Harvard","Ind",NA,1929
"2906","Missouri","Big 6",NA,1929
"2907","Northwestern","Western",NA,1929
"2908","Oregon State","PCC",NA,1929
"2909","Syracuse","Ind",NA,1929
"2910","Ohio State","Western",NA,1929
"2911","Pennsylvania","Ind",NA,1929
"2912","Colorado","RMC",NA,1929
"2913","Colorado College","RMC",NA,1929
"2914","Denver","RMC",NA,1929
"2915","Oregon","PCC",NA,1929
"2916","Fordham","Ind",NA,1929
"2917","Georgetown","Ind",NA,1929
"2918","Kansas","Big 6",NA,1929
"2919","Clemson","Southern",NA,1929
"2920","Georgia Tech","Southern",NA,1929
"2921","Baylor","SWC",NA,1929
"2922","Chicago","Western",NA,1929
"2923","New York University","Ind",NA,1929
"2924","Drake","MVC",NA,1929
"2925","Michigan State","Ind",NA,1929
"2926","Virginia Tech","Southern",NA,1929
"2927","Washington & Jefferson","Ind",NA,1929
"2928","Columbia","Ind",NA,1929
"2929","Colorado State","RMC",NA,1929
"2930","Oklahoma","Big 6",NA,1929
"2931","Penn State","Ind",NA,1929
"2932","South Carolina","Southern",NA,1929
"2933","Louisiana State","Southern",NA,1929
"2934","Washington","PCC",NA,1929
"2935","Maryland","Southern",NA,1929
"2936","Kansas State","Big 6",NA,1929
"2937","Indiana","Western",NA,1929
"2938","Princeton","Ind",NA,1929
"2939","Marquette","Ind",NA,1929
"2940","West Virginia","Ind",NA,1929
"2941","Utah State","RMC",NA,1929
"2942","Virginia","Southern",NA,1929
"2943","Grinnell","MVC",NA,1929
"2944","Idaho","PCC",NA,1929
"2945","Brown","Ind",NA,1929
"2946","Washington (MO)","MVC",NA,1929
"2947","Brigham Young","RMC",NA,1929
"2948","Oklahoma State","MVC",NA,1929
"2949","Montana State","RMC",NA,1929
"2950","UCLA","PCC",NA,1929
"2951","Davidson","Ind",NA,1929
"2952","Montana","PCC",NA,1929
"2953","Washington & Lee","Southern",NA,1929
"2954","Sewanee","Southern",NA,1929
"2955","Wake Forest","Ind",NA,1929
"2956","Colorado Mines","RMC",NA,1929
"2957","Mississippi","Southern",NA,1929
"2958","Duke","Southern",NA,1929
"2959","Iowa State","Big 6",NA,1929
"2960","Northern Colorado","RMC",NA,1929
"2961","Auburn","Southern",NA,1929
"2962","Regis (CO)","Ind",NA,1929
"2963","Wyoming","RMC",NA,1929
"2964","Western State","RMC",NA,1929
"2965","Mississippi State","Southern",NA,1929
"2966","Rice","SWC",NA,1929
"2967","Creighton","MVC",NA,1929
"2968","North Carolina State","Southern",NA,1929
"2969","Notre Dame","Ind",NA,1930
"2970","Alabama","Southern",NA,1930
"2971","Northwestern","Western",NA,1930
"2972","Southern California","PCC",NA,1930
"2973","Colgate","Ind",NA,1930
"2974","Tennessee","Southern",NA,1930
"2975","Vanderbilt","Southern",NA,1930
"2976","Wisconsin","Western",NA,1930
"2977","Purdue","Western",NA,1930
"2978","Utah","RMC",NA,1930
"2979","Ohio State","Western",NA,1930
"2980","Tulane","Southern",NA,1930
"2981","Texas","SWC",NA,1930
