"","player","pos","season","school_name","class"
"1","Nikola Cvetinovic","F",2010,"Akron","JR"
"2","Brett McClanahan","G",2010,"Akron","JR"
"3","Steve McNees","G",2010,"Akron","SR"
"4","Zeke Marshall","C",2010,"Akron","SO"
"5","Darryl Roberts","G",2010,"Akron","SR"
"6","Brett McKnight","F",2010,"Akron","SR"
"7","Alex Abreu","G",2010,"Akron","FR"
"8","Quincy Diggs","F",2010,"Akron","SO"
"9","Mike Bardo","C",2010,"Akron","SR"
"10","Josh Egner","F",2010,"Akron","FR"
"11","Dakotah Euton","F",2010,"Akron","FR"
"12","Kyle Petersen","G",2010,"Akron","JR"
"13","C.J. Oldham","F",2010,"Akron","FR"
"14","Brian Walsh","G",2010,"Akron","SO"
"15","Zeke Marshall","C",2011,"Akron","JR"
"16","Nikola Cvetinovic","F",2011,"Akron","SR"
"17","Alex Abreu","G",2011,"Akron","SO"
"18","Quincy Diggs","F",2011,"Akron","JR"
"19","Brian Walsh","G",2011,"Akron","SO"
"20","Nick Harney","F",2011,"Akron","SO"
"21","Demetrius Treadwell","F",2011,"Akron","SO"
"22","Chauncey Gilliam","F",2011,"Akron","JR"
"23","Brett McClanahan","G",2011,"Akron","SR"
"24","Adedeji Ibitayo","G",2011,"Akron","FR"
"25","Josh Egner","F",2011,"Akron","SO"
"26","C.J. Oldham","F",2011,"Akron","SO"
"27","Kyle Petersen","G",2011,"Akron","SR"
"28","Michael Green","F",2011,"Akron","FR"
"29","Luke Avsec","G",2011,"Akron","SO"
"30","Zeke Marshall","C",2012,"Akron","SR"
"31","Demetrius Treadwell","F",2012,"Akron","JR"
"32","Alex Abreu","G",2012,"Akron","JR"
"33","Nick Harney","F",2012,"Akron","JR"
"34","Brian Walsh","G",2012,"Akron","JR"
"35","Jake Kretzer","F",2012,"Akron","FR"
"36","Chauncey Gilliam","F",2012,"Akron","SR"
"37","Reggie McAdams","F",2012,"Akron","FR"
"38","Pat Forsythe","C",2012,"Akron","FR"
"39","Adedeji Ibitayo","G",2012,"Akron","SO"
"40","Carmelo Betancourt","G",2012,"Akron","FR"
"41","Jonas Stalyga","F",2012,"Akron","SO"
"42","Darius Hoisten","G",2012,"Akron","FR"
"43","Blake Justice","G",2012,"Akron","FR"
"44","Luke Avsec","G",2012,"Akron","JR"
"45","Demetrius Treadwell","F",2013,"Akron","SR"
"46","Quincy Diggs","F",2013,"Akron","SR"
"47","Nick Harney","F",2013,"Akron","SR"
"48","Jake Kretzer","F",2013,"Akron","SO"
"49","Reggie McAdams","F",2013,"Akron","SO"
"50","Nyles Evans","G",2013,"Akron","JR"
"51","Pat Forsythe","C",2013,"Akron","SO"
"52","Adedeji Ibitayo","G",2013,"Akron","JR"
"53","Isaiah Johnson","C",2013,"Akron","FR"
"54","Carmelo Betancourt","G",2013,"Akron","SO"
"55","Kwan Cheatham","F",2013,"Akron","FR"
"56","Mark Noble","G",2013,"Akron","FR"
"57","Adedeji Ibitayo","G",2014,"Akron","SR"
"58","Pat Forsythe","C",2014,"Akron","JR"
"59","Kwan Cheatham","F",2014,"Akron","SO"
"60","Noah Robotham","G",2014,"Akron","FR"
"61","Reggie McAdams","F",2014,"Akron","JR"
"62","Antino Jackson","G",2014,"Akron","FR"
"63","Jake Kretzer","F",2014,"Akron","JR"
"64","Isaiah Johnson","C",2014,"Akron","SO"
"65","Nyles Evans","G",2014,"Akron","SR"
"66","B.J. Gladden","F",2014,"Akron","FR"
"67","Aaron Jackson","G",2014,"Akron","FR"
"68","Demetrius Treadwell","F",2014,"Akron","SR"
"69","Malcolm Walters","G",2014,"Akron","FR"
"70","Ricardo Hill","G",2014,"Akron","FR"
"71","Mark Noble","G",2014,"Akron","SO"
"72","Isaiah Johnson","C",2015,"Akron","JR"
"73","Antino Jackson","G",2015,"Akron","SO"
"74","Reggie McAdams","F",2015,"Akron","SR"
"75","Jake Kretzer","F",2015,"Akron","SR"
"76","Noah Robotham","G",2015,"Akron","SO"
"77","Kwan Cheatham","F",2015,"Akron","JR"
"78","Josh Williams","G",2015,"Akron","FR"
"79","Pat Forsythe","C",2015,"Akron","SR"
"80","Jimond Ivey","G",2015,"Akron","FR"
"81","Aaron Jackson","G",2015,"Akron","SO"
"82","Carlitos Anderson","G",2015,"Akron","JR"
"83","Mark Noble","G",2015,"Akron","JR"
"84","Peter Agba","F",2015,"Akron","FR"
"85","Daniel Utomi","G",2015,"Akron","FR"
"86","Isaiah Johnson","C",2016,"Akron","SR"
"87","Kwan Cheatham","F",2016,"Akron","SR"
"88","Jimond Ivey","G",2016,"Akron","SO"
"89","Antino Jackson","G",2016,"Akron","JR"
"90","Noah Robotham","G",2016,"Akron","JR"
"91","Josh Williams","G",2016,"Akron","SO"
"92","Tavian Dunn-Martin","G",2016,"Akron","FR"
"93","Daniel Utomi","G",2016,"Akron","FR"
"94","Aaron Jackson","G",2016,"Akron","JR"
"95","Emmanuel Olojakpoke","F",2016,"Akron","FR"
"96","Michael Hughes","C",2016,"Akron","FR"
"97","Craig Eubanks","G",2016,"Akron","JR"
"98","Mark Noble","G",2016,"Akron","SR"
"99","Marquelle McIntyre","G",2016,"Akron","FR"
"100","Carlitos Anderson","G",2016,"Akron","SR"
"101","Daniel Utomi","G",2017,"Akron","SO"
"102","Malcolm Duvivier","G",2017,"Akron","SR"
"103","Jimond Ivey","G",2017,"Akron","JR"
"104","Eric Parrish","G",2017,"Akron","FR"
"105","Virshon Cotton","G",2017,"Akron","FR"
"106","Torrey Patton","G",2017,"Akron","FR"
"107","Emmanuel Olojakpoke","F",2017,"Akron","SO"
"108","Jaden Sayles","F",2017,"Akron","FR"
"109","Mark Kostelac","C",2017,"Akron","FR"
"110","Lucas Smith","C",2017,"Akron","JR"
"111","Sina Gbadebo","G",2017,"Akron","FR"
"112","Craig Eubanks","G",2017,"Akron","SR"
"113","Marquelle McIntyre","G",2017,"Akron","SO"
"114","Daniel Utomi","G",2018,"Akron","JR"
"115","Loren Jackson","G",2018,"Akron","SO"
"116","Jimond Ivey","G",2018,"Akron","SR"
"117","Tyler Cheese","G",2018,"Akron","JR"
"118","Channel Banks","G",2018,"Akron","JR"
"119","Deng Riak","C",2018,"Akron","JR"
"120","Jeremy Roscoe","G",2018,"Akron","SO"
"121","Emmanuel Olojakpoke","F",2018,"Akron","JR"
"122","Jaden Sayles","F",2018,"Akron","SO"
"123","Mark Kostelac","C",2018,"Akron","SO"
"124","Scott Walter","G",2018,"Akron","FR"
"125","LePear Toles","G",2018,"Akron","SO"
"126","Jake Fischer","G",2018,"Akron","FR"
"127","Marquelle McIntyre","G",2018,"Akron","JR"
"128","Eric Hester","G",2018,"Akron","SO"
"129","Loren Jackson","G",2019,"Akron","JR"
"130","Tyler Cheese","G",2019,"Akron","SR"
"131","Xeyrius Williams","F",2019,"Akron","SR"
"132","Channel Banks","G",2019,"Akron","SR"
"133","Camron Reece","F",2019,"Akron","JR"
"134","Deng Riak","C",2019,"Akron","SR"
"135","Greg Tribble","G",2019,"Akron","FR"
"136","Jaden Sayles","F",2019,"Akron","JR"
"137","Ali Ali","F",2019,"Akron","FR"
"138","Mikal Dawson","G",2019,"Akron","FR"
"139","Enrique Freeman","F",2019,"Akron","FR"
"140","Marquelle McIntyre","G",2019,"Akron","SR"
"141","Jeremy Roscoe","G",2019,"Akron","JR"
"142","Loren Jackson","G",2020,"Akron","SR"
"143","Bryan Trimble","G",2020,"Akron","JR"
"144","Enrique Freeman","F",2020,"Akron","SO"
"145","Ali Ali","F",2020,"Akron","SO"
"146","Camron Reece","F",2020,"Akron","SR"
"147","Maishe Dailey","G",2020,"Akron","SR"
"148","Mikal Dawson","G",2020,"Akron","SO"
"149","Greg Tribble","G",2020,"Akron","SO"
"150","Michael Wynn","G",2020,"Akron","JR"
"151","Garvin Clarke","G",2020,"Akron","FR"
"152","Jermaine Marshall","F",2020,"Akron","SO"
"153","Taylor Currie","F",2020,"Akron","SO"
"154","Aziz Bandaogo","C",2020,"Akron","FR"
"155","Tre Edwards","G",2020,"Akron","FR"
"156","Scott Walter","G",2020,"Akron","SO"
"157","Ali Ali","F",2021,"Akron","SO"
"158","Xavier Castaneda","G",2021,"Akron","JR"
"159","Enrique Freeman","F",2021,"Akron","SO"
"160","Bryan Trimble","G",2021,"Akron","JR"
"161","Greg Tribble","G",2021,"Akron","SO"
"162","Mikal Dawson","G",2021,"Akron","SO"
"163","Garvin Clarke","G",2021,"Akron","FR"
"164","Aziz Bandaogo","C",2021,"Akron","SO"
"165","Michael Wynn","G",2021,"Akron","JR"
"166","K.J. Walton","G",2021,"Akron","SR"
"167","Sekou Kalle","F",2021,"Akron","FR"
"168","Brandon Ford","F",2021,"Akron",""
"169","Evan Wilson","G",2021,"Akron","FR"
"170","Xavier Castaneda","G",2022,"Akron","SR"
"171","Enrique Freeman","F",2022,"Akron","JR"
"172","Trendon Hankerson","G",2022,"Akron","SR"
"173","Sammy Hunter","F",2022,"Akron","JR"
"174","Greg Tribble","G",2022,"Akron","JR"
"175","Nate Johnson","G",2022,"Akron","FR"
"176","Tavari Johnson","G",2022,"Akron","FR"
"177","Amani Lyles","F",2022,"Akron","FR"
"178","Garvin Clarke","G",2022,"Akron","SO"
"179","Kobe Mitchell","G",2022,"Akron","FR"
"180","Evan Wilson","G",2022,"Akron","SO"
"181","Pat Mayfield","G",2022,"Akron","SO"
"182","Enrique Freeman","F",2023,"Akron","SR"
"183","Mikal Dawson","G",2023,"Akron","SR"
"184","Sammy Hunter","F",2023,"Akron","SR"
"185","Greg Tribble","G",2023,"Akron","SR"
"186","Nate Johnson","G",2023,"Akron","JR"
"187","Shammah Scott","G",2023,"Akron","JR"
"188","Tavari Johnson","G",2023,"Akron","SO"
"189","Kaleb Thornton","G",2023,"Akron","SR"
"190","Amani Lyles","F",2023,"Akron","SO"
"191","Evan Wilson","G",2023,"Akron","JR"
"192","Zach Halligan","G",2023,"Akron","FR"
"193","Ryan Prather","G",2023,"Akron","SO"
"194","Ali Ali","F",2023,"Akron","SR"
"195","Darrion Baker","F",2023,"Akron","FR"
"196","Marvin Musiime-Kamali","F",2023,"Akron","FR"
"197","Jarrod Jones","F",2010,"Ball State","JR"
"198","Jauwan Scaife","G",2010,"Ball State","SO"
"199","Randy Davis","G",2010,"Ball State","JR"
"200","Jesse Berry","G",2010,"Ball State","FR"
"201","Chris Bond","F",2010,"Ball State","FR"
"202","Malik Perry","F",2010,"Ball State","SR"
"203","Tyrae Robinson","G",2010,"Ball State","FR"
"204","Pierre Sneed","G",2010,"Ball State","JR"
"205","Matt Kamieniecki","F",2010,"Ball State","FR"
"206","Zach Fields","C",2010,"Ball State","SO"
"207","Maurice Hubbard","F",2010,"Ball State","JR"
"208","Franklin Henderson","F",2010,"Ball State","JR"
"209","Adrian Tucker","G",2010,"Ball State","SO"
"210","Jay Copeland","F",2010,"Ball State","FR"
"211","John Green","G",2010,"Ball State","SO"
"212","Jarrod Jones","F",2011,"Ball State","SR"
"213","Jesse Berry","G",2011,"Ball State","SO"
"214","Randy Davis","G",2011,"Ball State","SR"
"215","Chris Bond","F",2011,"Ball State","SO"
"216","Tyler Koch","F",2011,"Ball State","SO"
"217","Tyrae Robinson","G",2011,"Ball State","SO"
"218","Jauwan Scaife","G",2011,"Ball State","JR"
"219","Aaron Adeoye","F",2011,"Ball State","FR"
"220","Matt Kamieniecki","F",2011,"Ball State","SO"
"221","Zach Fields","C",2011,"Ball State","JR"
"222","Pierre Sneed","G",2011,"Ball State","SR"
"223","Zeke Chapman","G",2011,"Ball State","FR"
"224","Jauwan Scaife","G",2012,"Ball State","SR"
"225","Jesse Berry","G",2012,"Ball State","JR"
"226","Majok Majok","F",2012,"Ball State","JR"
"227","Chris Bond","F",2012,"Ball State","JR"
"228","Marcus Posley","G",2012,"Ball State","FR"
"229","Matt Kamieniecki","F",2012,"Ball State","JR"
"230","Zach Fields","C",2012,"Ball State","SR"
"231","Bo Calhoun","F",2012,"Ball State","FR"
"232","Michael Ramey","G",2012,"Ball State","FR"
"233","Tyler Koch","F",2012,"Ball State","JR"
"234","Chase Brogna","G",2012,"Ball State","FR"
"235","Rocco Belcaster","F",2012,"Ball State","FR"
"236","Mading Thok","C",2012,"Ball State","SO"
"237","Chris Bond","F",2013,"Ball State","SR"
"238","Zavier Turner","G",2013,"Ball State","FR"
"239","Jesse Berry","G",2013,"Ball State","SR"
"240","Majok Majok","F",2013,"Ball State","SR"
"241","Franko House","F",2013,"Ball State","FR"
"242","Mark Alstork","G",2013,"Ball State","FR"
"243","Bo Calhoun","F",2013,"Ball State","SO"
"244","Quinten Payne","G",2013,"Ball State","FR"
"245","Tyler Koch","F",2013,"Ball State","SR"
"246","Kindon Crowder","G",2013,"Ball State","SR"
"247","Mading Thok","C",2013,"Ball State","FR"
"248","Kameran Madison","G",2013,"Ball State","SO"
"249","Kaleb Mallory","G",2013,"Ball State","FR"
"250","Chase Brogna","G",2013,"Ball State","SO"
"251","Matt Kamieniecki","F",2013,"Ball State","SR"
"252","Sean Sellers","G",2014,"Ball State","FR"
"253","Franko House","F",2014,"Ball State","SO"
"254","Bo Calhoun","F",2014,"Ball State","JR"
"255","Zavier Turner","G",2014,"Ball State","SO"
"256","Francis Kiapway","G",2014,"Ball State","FR"
"257","Matt Kamieniecki","F",2014,"Ball State","SR"
"258","Jeremiah Davis","G",2014,"Ball State","JR"
"259","Jeremie Tyler","G",2014,"Ball State","FR"
"260","Rocco Belcaster","F",2014,"Ball State","SO"
"261","Bik Gill","F",2014,"Ball State","JR"
"262","Kaleb Mallory","G",2014,"Ball State","SO"
"263","Mading Thok","C",2014,"Ball State","SO"
"264","Franko House","F",2015,"Ball State","JR"
"265","Bo Calhoun","F",2015,"Ball State","SR"
"266","Ryan Weber","G",2015,"Ball State","JR"
"267","Jeremie Tyler","G",2015,"Ball State","SO"
"268","Francis Kiapway","G",2015,"Ball State","SO"
"269","Sean Sellers","G",2015,"Ball State","SO"
"270","Trey Moses","F",2015,"Ball State","FR"
"271","Jeremiah Davis","G",2015,"Ball State","SR"
"272","Naiel Smith","G",2015,"Ball State","JR"
"273","Nate Wells","C",2015,"Ball State","SR"
"274","Bik Gill","F",2015,"Ball State","SR"
"275","Kaleb Mallory","G",2015,"Ball State","JR"
"276","Rocco Belcaster","F",2015,"Ball State","JR"
"277","Tayler Persons","G",2016,"Ball State","SO"
"278","Franko House","F",2016,"Ball State","SR"
"279","Ryan Weber","G",2016,"Ball State","SR"
"280","Trey Moses","F",2016,"Ball State","SO"
"281","Sean Sellers","G",2016,"Ball State","JR"
"282","Francis Kiapway","G",2016,"Ball State","JR"
"283","Tahjai Teague","F",2016,"Ball State","FR"
"284","Jeremie Tyler","G",2016,"Ball State","JR"
"285","Kyle Mallers","F",2016,"Ball State","FR"
"286","DouDou Gueye","C",2016,"Ball State","SR"
"287","Kaleb Mallory","G",2016,"Ball State","SR"
"288","Josh Thompson","G",2016,"Ball State","FR"
"289","Tayler Persons","G",2017,"Ball State","JR"
"290","Tahjai Teague","F",2017,"Ball State","SO"
"291","Trey Moses","F",2017,"Ball State","JR"
"292","Kyle Mallers","F",2017,"Ball State","SO"
"293","Sean Sellers","G",2017,"Ball State","SR"
"294","Ishmael El-Amin","G",2017,"Ball State","FR"
"295","Zach Gunn","F",2017,"Ball State","FR"
"296","Jontrell Walker","G",2017,"Ball State","JR"
"297","Jeremie Tyler","G",2017,"Ball State","SR"
"298","Francis Kiapway","G",2017,"Ball State","SR"
"299","Josh Thompson","G",2017,"Ball State","SO"
"300","Tyler Leedy","G",2017,"Ball State","FR"
"301","Tayler Persons","G",2018,"Ball State","SR"
"302","Tahjai Teague","F",2018,"Ball State","JR"
"303","K.J. Walton","G",2018,"Ball State","JR"
"304","Trey Moses","F",2018,"Ball State","SR"
"305","Kyle Mallers","F",2018,"Ball State","JR"
"306","Zach Gunn","F",2018,"Ball State","SO"
"307","Ishmael El-Amin","G",2018,"Ball State","SO"
"308","Brachen Hazen","F",2018,"Ball State","SO"
"309","Josh Thompson","G",2018,"Ball State","JR"
"310","Austin Nehls","G",2018,"Ball State","SR"
"311","Blake Huggins","C",2018,"Ball State","FR"
"312","Tahjai Teague","F",2019,"Ball State","SR"
"313","Ishmael El-Amin","G",2019,"Ball State","JR"
"314","Kyle Mallers","F",2019,"Ball State","SR"
"315","Jarron Coleman","G",2019,"Ball State","FR"
"316","Luke Bumbalough","G",2019,"Ball State","FR"
"317","Brachen Hazen","F",2019,"Ball State","JR"
"318","Josh Thompson","G",2019,"Ball State","SR"
"319","Kani Acree","G",2019,"Ball State","FR"
"320","K.J. Walton","G",2019,"Ball State","SR"
"321","Miryne Thomas","F",2019,"Ball State","SO"
"322","Lucas Kroft","G",2019,"Ball State","FR"
"323","Blake Huggins","C",2019,"Ball State","SO"
"324","Ben Hendriks","C",2019,"Ball State","FR"
"325","Ishmael El-Amin","G",2020,"Ball State","SR"
"326","K.J. Walton","G",2020,"Ball State","SR"
"327","Brachen Hazen","F",2020,"Ball State","SR"
"328","Jarron Coleman","G",2020,"Ball State","SO"
"329","Luke Bumbalough","G",2020,"Ball State","SO"
"330","Miryne Thomas","F",2020,"Ball State","JR"
"331","Kani Acree","G",2020,"Ball State","SO"
"332","Blake Huggins","C",2020,"Ball State","JR"
"333","Zach Gunn","F",2020,"Ball State","JR"
"334","Jalen Windham","G",2020,"Ball State","SO"
"335","Ben Hendriks","C",2020,"Ball State","SO"
"336","Teemu Suokas","G",2020,"Ball State","FR"
"337","Josh Bryan","G",2020,"Ball State",""
"338","Payton Sparks","C",2021,"Ball State","FR"
"339","Tyler Cochran","G",2021,"Ball State","JR"
"340","Miryne Thomas","F",2021,"Ball State","SR"
"341","Luke Bumbalough","G",2021,"Ball State","JR"
"342","Demarius Jacobs","G",2021,"Ball State","SR"
"343","Jaylin Sellers","G",2021,"Ball State","FR"
"344","Mickey Pearson","F",2021,"Ball State","SO"
"345","Jalen Windham","G",2021,"Ball State","JR"
"346","Basheer Jihad","F",2021,"Ball State","FR"
"347","Luke Brown","G",2021,"Ball State",""
"348","Kani Acree","G",2021,"Ball State","JR"
"349","Blake Huggins","C",2021,"Ball State","SR"
"350","Josh Bryan","G",2021,"Ball State","JR"
"351","Teemu Suokas","G",2021,"Ball State","SO"
"352","Ben Hendriks","C",2021,"Ball State","JR"
"353","Jarron Coleman","G",2022,"Ball State","SR"
"354","Jaylin Sellers","G",2022,"Ball State","SO"
"355","Payton Sparks","C",2022,"Ball State","SO"
"356","Demarius Jacobs","G",2022,"Ball State","SR"
"357","Mickey Pearson","F",2022,"Ball State","JR"
"358","Basheer Jihad","F",2022,"Ball State","SO"
"359","Jalen Windham","G",2022,"Ball State","JR"
"360","Luke Bumbalough","G",2022,"Ball State","JR"
"361","Kaiyem Cleary","G",2022,"Ball State","JR"
"362","Ben Hendriks","C",2022,"Ball State","JR"
"363","Micah Bell","G",2022,"Ball State","FR"
"364","Darian Owens-White","G",2022,"Ball State","SR"
"365","Jack Futa","G",2022,"Ball State","FR"
"366","Basheer Jihad","F",2023,"Ball State","JR"
"367","Jalin Anderson","G",2023,"Ball State","JR"
"368","Mickey Pearson","F",2023,"Ball State","JR"
"369","Davion Bailey","G",2023,"Ball State","JR"
"370","Trent Middleton","G",2023,"Ball State","FR"
"371","Mason Jones","F",2023,"Ball State","FR"
"372","Ben Hendriks","C",2023,"Ball State","JR"
"373","Micah Bell","G",2023,"Ball State","FR"
"374","Zane Doughty","C",2023,"Ball State","FR"
"375","Joey Brown","G",2023,"Ball State","FR"
"376","Jurica Zagorsak","G",2023,"Ball State","FR"
"377","Quincy Adams","G",2023,"Ball State","FR"
"378","Jack Futa","G",2023,"Ball State","SO"
"379","Ethan Brittain-Watts","G",2023,"Ball State","SR"
"380","Ian Clark","G",2010,"Belmont","SO"
"381","Mick Hedgepeth","F",2010,"Belmont","JR"
"382","Scott Saunders","F",2010,"Belmont","JR"
"383","Jordan Campbell","G",2010,"Belmont","SR"
"384","Kerron Johnson","G",2010,"Belmont","SO"
"385","Drew Hanlen","G",2010,"Belmont","JR"
"386","J.J. Mann","G",2010,"Belmont","FR"
"387","Jon House","G",2010,"Belmont","SR"
"388","Trevor Noack","F",2010,"Belmont","SO"
"389","Blake Jenkins","F",2010,"Belmont","FR"
"390","Brandon Baker","F",2010,"Belmont","SO"
"391","Adam Barnes","G",2010,"Belmont","SO"
"392","Jonny Rice","G",2010,"Belmont","SO"
"393","Kerron Johnson","G",2011,"Belmont","JR"
"394","Ian Clark","G",2011,"Belmont","JR"
"395","Drew Hanlen","G",2011,"Belmont","SR"
"396","Scott Saunders","F",2011,"Belmont","SR"
"397","Mick Hedgepeth","F",2011,"Belmont","SR"
"398","J.J. Mann","G",2011,"Belmont","SO"
"399","Blake Jenkins","F",2011,"Belmont","SO"
"400","Adam Barnes","G",2011,"Belmont","JR"
"401","Brandon Baker","F",2011,"Belmont","JR"
"402","Trevor Noack","F",2011,"Belmont","JR"
"403","Reece Chamberlain","G",2011,"Belmont","FR"
"404","Chad Lang","C",2011,"Belmont","FR"
"405","Spencer Turner","G",2011,"Belmont","FR"
"406","Holden Mobley","G",2011,"Belmont","FR"
"407","Seth Cavera","G",2011,"Belmont","FR"
"408","Ian Clark","G",2012,"Belmont","SR"
"409","Kerron Johnson","G",2012,"Belmont","SR"
"410","Trevor Noack","F",2012,"Belmont","SR"
"411","J.J. Mann","G",2012,"Belmont","JR"
"412","Blake Jenkins","F",2012,"Belmont","JR"
"413","Reece Chamberlain","G",2012,"Belmont","SO"
"414","Brandon Baker","F",2012,"Belmont","SR"
"415","Craig Bradshaw","G",2012,"Belmont","FR"
"416","Adam Barnes","G",2012,"Belmont","SR"
"417","Jeff Laidig","G",2012,"Belmont","FR"
"418","Chad Lang","C",2012,"Belmont","SO"
"419","Spencer Turner","G",2012,"Belmont","SO"
"420","Holden Mobley","G",2012,"Belmont","SO"
"421","J.J. Mann","G",2013,"Belmont","SR"
"422","Craig Bradshaw","G",2013,"Belmont","SO"
"423","Drew Windler","F",2013,"Belmont","SR"
"424","Reece Chamberlain","G",2013,"Belmont","JR"
"425","Evan Bradds","F",2013,"Belmont","FR"
"426","Blake Jenkins","F",2013,"Belmont","SR"
"427","Caleb Chowbay","G",2013,"Belmont","FR"
"428","Nick Smith","F",2013,"Belmont","FR"
"429","Chad Lang","C",2013,"Belmont","JR"
"430","Spencer Turner","G",2013,"Belmont","JR"
"431","Jeff Laidig","G",2013,"Belmont","SO"
"432","Holden Mobley","G",2013,"Belmont","JR"
"433","Craig Bradshaw","G",2014,"Belmont","JR"
"434","Evan Bradds","F",2014,"Belmont","SO"
"435","Taylor Barnette","G",2014,"Belmont","SO"
"436","Reece Chamberlain","G",2014,"Belmont","SR"
"437","Nick Smith","F",2014,"Belmont","SO"
"438","Amanze Egekeze","F",2014,"Belmont","FR"
"439","Mack Mercer","F",2014,"Belmont","FR"
"440","Caleb Chowbay","G",2014,"Belmont","SO"
"441","Tyler Hadden","C",2014,"Belmont","FR"
"442","Spencer Turner","G",2014,"Belmont","SR"
"443","Holden Mobley","G",2014,"Belmont","SR"
"444","Burton Sampson","G",2014,"Belmont","FR"
"445","Jeff Laidig","G",2014,"Belmont","JR"
"446","Austin Luke","G",2014,"Belmont","FR"
"447","Josh Lester","F",2014,"Belmont","FR"
"448","Evan Bradds","F",2015,"Belmont","JR"
"449","Craig Bradshaw","G",2015,"Belmont","SR"
"450","Taylor Barnette","G",2015,"Belmont","JR"
"451","Amanze Egekeze","F",2015,"Belmont","SO"
"452","Austin Luke","G",2015,"Belmont","SO"
"453","Nick Smith","F",2015,"Belmont","JR"
"454","Kevin McClain","G",2015,"Belmont","FR"
"455","Mack Mercer","F",2015,"Belmont","SO"
"456","Dylan Windler","F",2015,"Belmont","FR"
"457","Tyler Hadden","C",2015,"Belmont","SO"
"458","Burton Sampson","G",2015,"Belmont","SO"
"459","Josh Lester","F",2015,"Belmont","SO"
"460","Jeff Laidig","G",2015,"Belmont","SR"
"461","Michael Benkert","G",2015,"Belmont","FR"
"462","Evan Bradds","F",2016,"Belmont","SR"
"463","Taylor Barnette","G",2016,"Belmont","SR"
"464","Amanze Egekeze","F",2016,"Belmont","JR"
"465","Dylan Windler","F",2016,"Belmont","SO"
"466","Nick Smith","F",2016,"Belmont","SR"
"467","Austin Luke","G",2016,"Belmont","JR"
"468","Kevin McClain","G",2016,"Belmont","SO"
"469","Seth Adelsperger","C",2016,"Belmont","FR"
"470","Burton Sampson","G",2016,"Belmont","JR"
"471","Tyler Hadden","C",2016,"Belmont","JR"
"472","Michael Benkert","G",2016,"Belmont","FR"
"473","Josh Lester","F",2016,"Belmont","JR"
"474","Mack Mercer","F",2016,"Belmont","JR"
"475","Dylan Windler","F",2017,"Belmont","JR"
"476","Amanze Egekeze","F",2017,"Belmont","SR"
"477","Kevin McClain","G",2017,"Belmont","JR"
"478","Austin Luke","G",2017,"Belmont","SR"
"479","Nick Hopkins","G",2017,"Belmont","FR"
"480","Mack Mercer","F",2017,"Belmont","JR"
"481","Tyler Hadden","C",2017,"Belmont","SR"
"482","Seth Adelsperger","C",2017,"Belmont","SO"
"483","Burton Sampson","G",2017,"Belmont","SR"
"484","Michael Benkert","G",2017,"Belmont","SO"
"485","Grayson Murphy","G",2017,"Belmont","FR"
"486","Caleb Hollander","F",2017,"Belmont","FR"
"487","Dylan Windler","F",2018,"Belmont","SR"
"488","Kevin McClain","G",2018,"Belmont","SR"
"489","Nick Muszynski","C",2018,"Belmont","FR"
"490","Grayson Murphy","G",2018,"Belmont","FR"
"491","Nick Hopkins","G",2018,"Belmont","SO"
"492","Caleb Hollander","F",2018,"Belmont","FR"
"493","Seth Adelsperger","C",2018,"Belmont","JR"
"494","Michael Benkert","G",2018,"Belmont","JR"
"495","Adam Kunkel","G",2018,"Belmont","FR"
"496","Derek Sabin","F",2018,"Belmont","FR"
"497","Tate Pierson","G",2018,"Belmont","FR"
"498","Garrett Suedekum","G",2018,"Belmont","SO"
"499","Michael Mayernick","G",2018,"Belmont","FR"
"500","Adam Kunkel","G",2019,"Belmont","SO"
"501","Nick Muszynski","C",2019,"Belmont","SO"
"502","Tyler Scanlon","F",2019,"Belmont","SR"
"503","Grayson Murphy","G",2019,"Belmont","SO"
"504","Nick Hopkins","G",2019,"Belmont","JR"
"505","Michael Benkert","G",2019,"Belmont","SR"
"506","Caleb Hollander","F",2019,"Belmont","SO"
"507","Tate Pierson","G",2019,"Belmont","SO"
"508","Ben Sheppard","G",2019,"Belmont","FR"
"509","Seth Adelsperger","C",2019,"Belmont","SR"
"510","Mitch Listau","G",2019,"Belmont","SO"
"511","EJ Bellinger","G",2019,"Belmont","FR"
"512","Garrett Suedekum","G",2019,"Belmont","JR"
"513","Rilee Epley","F",2019,"Belmont","FR"
"514","Nick Muszynski","C",2020,"Belmont","JR"
"515","Luke Smith","G",2020,"Belmont","JR"
"516","JaCobi Wood","G",2020,"Belmont","FR"
"517","Grayson Murphy","G",2020,"Belmont","JR"
"518","Ben Sheppard","G",2020,"Belmont","SO"
"519","Caleb Hollander","F",2020,"Belmont","JR"
"520","Even Brauns","C",2020,"Belmont","FR"
"521","EJ Bellinger","G",2020,"Belmont","SO"
"522","Tate Pierson","G",2020,"Belmont","JR"
"523","Derek Sabin","F",2020,"Belmont","SO"
"524","Mitch Listau","G",2020,"Belmont","JR"
"525","Frank Jakubicek","F",2020,"Belmont","FR"
"526","Michael Shanks","F",2020,"Belmont","FR"
"527","Ben Sheppard","G",2021,"Belmont","JR"
"528","Nick Muszynski","C",2021,"Belmont","SR"
"529","Will Richard","G",2021,"Belmont","FR"
"530","Luke Smith","G",2021,"Belmont","SR"
"531","Grayson Murphy","G",2021,"Belmont","SR"
"532","JaCobi Wood","G",2021,"Belmont","SO"
