"","player","schl","season","total_games","total_starts","total_min","next_season"
"1","A'Jahni Levias","North Dakota",2022,24,4,301,2023
"2","A'lahn Sumler","Northern Kentucky",2022,28,0,281,2023
"3","A'Torey Everett","Tennessee State",2016,24,1,233,2017
"4","A'uston Calhoun","Bowling Green State",2010,33,18,834,2011
"5","A'uston Calhoun","Bowling Green State",2011,32,32,925,2012
"6","A'uston Calhoun","Bowling Green State",2012,32,32,1090,2013
"7","A.C. Reid","Tennessee State",2017,10,1,102,2018
"8","A.J. Astroth","Vanderbilt",2012,9,0,42,2013
"9","A.J. Avery","Western Michigan",2012,19,0,87,2013
"10","A.J. Avery","Western Michigan",2013,32,0,313,2014
"11","A.J. Avery","Western Michigan",2014,28,0,289,2015
"12","A.J. Avery","Western Michigan",2015,32,32,786,2016
"13","A.J. Bowers","Chattanooga",2017,14,0,74,2018
"14","A.J. Caldwell","Chattanooga",2018,23,0,316,2019
"15","A.J. Caldwell","Chattanooga",2019,33,2,691,2020
"16","A.J. Caldwell","Chattanooga",2020,26,14,850,2021
"17","A.J. Caldwell","Chattanooga",2021,35,15,996,2022
"18","A.J. Caldwell","Chattanooga",2022,35,35,974,2023
"19","A.J. Davis","Tennessee",2013,25,1,235,2014
"20","A.J. Frazier","Xavier",2018,1,0,1,2019
"21","A.J. Gareri","Ohio",2017,10,0,61,2018
"22","A.J. Hammons","Purdue",2012,34,27,786,2013
"23","A.J. Hammons","Purdue",2013,31,25,775,2014
"24","A.J. Hammons","Purdue",2014,34,23,827,2015
"25","A.J. Hammons","Purdue",2015,33,20,813,2016
"26","A.J. Harris","Ohio State",2015,35,4,479,2016
"27","A.J. Hess","South Dakota State",2016,29,20,747,2017
"28","A.J. Hicks","Morehead State",2017,29,22,885,2018
"29","A.J. Hicks","Morehead State",2018,33,33,1083,2019
"30","A.J. Hoggard","Michigan State",2020,26,8,344,2021
"31","A.J. Hoggard","Michigan State",2021,36,8,728,2022
"32","A.J. Hoggard","Michigan State",2022,34,33,1041,2023
"33","A.J. Hoggard","Michigan State",2023,7,6,179,2024
"34","A.J. Jacobson","North Dakota State",2014,28,28,919,2015
"35","A.J. Jacobson","North Dakota State",2015,33,32,1133,2016
"36","A.J. Jacobson","North Dakota State",2016,29,28,924,2017
"37","A.J. Jacobson","North Dakota State",2017,32,32,826,2018
"38","A.J. Lynch","Austin Peay",2012,29,9,386,2013
"39","A.J. Mathew","Toledo",2011,31,0,198,2012
"40","A.J. Mathew","Toledo",2012,8,0,37,2013
"41","A.J. McGinnis","Cincinnati",2021,8,0,41,2022
"42","A.J. McGinnis","Lipscomb",2022,33,6,688,2023
"43","A.J. McGinnis","Lipscomb",2023,9,9,238,2024
"44","A.J. Merriweather","East Tennessee State",2013,35,32,928,2014
"45","A.J. Merriweather","East Tennessee State",2014,30,28,816,2015
"46","A.J. Merriweather","East Tennessee State",2015,21,12,365,2016
"47","A.J. Merriweather","East Tennessee State",2016,35,34,826,2017
"48","A.J. Oliver","Detroit Mercy",2022,29,26,744,2023
"49","A.J. Pacher","Wright State",2010,32,3,370,2011
"50","A.J. Pacher","Wright State",2011,32,9,461,2012
"51","A.J. Pacher","Wright State",2012,33,13,464,2013
"52","A.J. Pacher","Wright State",2013,36,34,832,2014
"53","A.J. Patty","Murray State",2015,18,0,93,2016
"54","A.J. Plitzuweit","South Dakota",2020,22,22,754,2021
"55","A.J. Plitzuweit","South Dakota",2022,29,27,801,2023
"56","A.J. Riley","Eastern Illinois",2015,30,11,629,2016
"57","A.J. Rutter","Drake",2013,2,0,1,2014
"58","A.J. Rutter","Drake",2015,1,0,3,2016
"59","A.J. Rutter","Drake",2016,6,0,14,2017
"60","A.J. Turner","Northwestern",2018,32,20,957,2019
"61","A.J. Turner","Northwestern",2019,30,4,731,2020
"62","A.J. Youngman","Eastern Kentucky",2017,28,6,403,2018
"63","Aanen Moody","North Dakota",2018,30,0,691,2019
"64","Aanen Moody","North Dakota",2019,9,0,142,2020
"65","Aarias Austin","Northern Iowa",2015,9,0,120,2016
"66","Aaric Armstead","Northern Illinois",2013,30,21,766,2014
"67","Aaric Armstead","Northern Illinois",2014,28,27,807,2015
"68","Aaric Armstead","Northern Illinois",2015,34,34,983,2016
"69","Aaric Armstead","Northern Illinois",2016,32,31,974,2017
"70","Aaris-Monte Bonds","Chicago State",2020,6,5,129,2021
"71","Aaron Adeoye","Ball State",2011,30,8,520,2012
"72","Aaron Anderson","North Dakota",2010,34,1,754,2011
"73","Aaron Anderson","North Dakota",2011,32,32,963,2012
"74","Aaron Anderson","North Dakota",2012,33,33,1055,2013
"75","Aaron Anderson","North Dakota",2013,34,30,1000,2014
"76","Aaron Anderson","Oral Roberts",2015,30,17,681,2016
"77","Aaron Anderson","Oral Roberts",2016,26,24,762,2017
"78","Aaron Armstead","Green Bay",2011,30,4,436,2012
"79","Aaron Armstead","Northern Illinois",2013,32,7,618,2014
"80","Aaron Armstead","Northern Illinois",2014,29,5,607,2015
"81","Aaron Brennan","IUPUI",2014,28,24,585,2015
"82","Aaron Brennan","IUPUI",2015,32,10,569,2016
"83","Aaron Brennan","IUPUI",2016,32,10,596,2017
"84","Aaron Brennan","IUPUI",2017,30,30,818,2018
"85","Aaron Calixte","Oklahoma",2018,34,19,717,2019
"86","Aaron Carter","Indiana State",2010,34,24,779,2011
"87","Aaron Cook","Southern Illinois",2016,32,0,338,2017
"88","Aaron Cook","Southern Illinois",2017,33,32,989,2018
"89","Aaron Cook","Southern Illinois",2018,32,32,1048,2019
"90","Aaron Cook","Southern Illinois",2019,6,6,187,2020
"91","Aaron Cooper","Missouri State",2010,14,0,51,2011
"92","Aaron Cosby","Illinois",2014,19,13,480,2015
"93","Aaron Craft","Ohio State",2010,37,2,1096,2011
"94","Aaron Craft","Ohio State",2011,39,39,1255,2012
"95","Aaron Craft","Ohio State",2012,37,37,1263,2013
"96","Aaron Craft","Ohio State",2013,35,35,1204,2014
"97","Aaron Ellis","Wichita State",2010,37,21,664,2011
"98","Aaron Falzon","Northwestern",2015,32,29,785,2016
"99","Aaron Falzon","Northwestern",2016,3,0,20,2017
"100","Aaron Falzon","Northwestern",2017,28,10,447,2018
"101","Aaron Falzon","Northwestern",2018,17,4,264,2019
"102","Aaron Fiegen","South Dakota State",2019,9,0,25,2020
"103","Aaron Fiegen","South Dakota State",2020,10,0,28,2021
"104","Aaron Fiegen","South Dakota State",2021,12,0,41,2022
"105","Aaron Fiegen","South Dakota State",2022,8,0,16,2023
"106","Aaron Foster-Smith","Detroit Mercy",2015,30,1,321,2016
"107","Aaron Foster-Smith","Detroit Mercy",2016,4,0,57,2017
"108","Aaron Franklin","Milwaukee",2023,7,1,81,2024
"109","Aaron Ganson","Bradley",2010,2,0,2,2011
"110","Aaron Hawley","Drake",2010,30,4,484,2011
"111","Aaron Hawley","Drake",2011,34,12,704,2012
"112","Aaron Hawley","Drake",2013,31,25,841,2014
"113","Aaron Henry","Michigan State",2018,39,22,860,2019
"114","Aaron Henry","Michigan State",2019,30,29,872,2020
"115","Aaron Henry","Michigan State",2020,28,26,910,2021
"116","Aaron Jackson","Akron",2014,29,1,269,2015
"117","Aaron Jackson","Akron",2015,29,6,285,2016
"118","Aaron Jackson","Akron",2016,32,9,423,2017
"119","Aaron Jordan","Illinois",2015,30,5,350,2016
"120","Aaron Jordan","Illinois",2016,24,2,165,2017
"121","Aaron Jordan","Illinois",2017,32,6,644,2018
"122","Aaron Jordan","Illinois",2018,33,31,888,2019
"123","Aaron Korn","Lipscomb",2014,30,2,442,2015
"124","Aaron Korn","Lipscomb",2015,27,0,336,2016
"125","Aaron Korn","Lipscomb",2016,27,4,390,2017
"126","Aaron Korn","Lipscomb",2017,33,0,511,2018
"127","Aaron Law","Iowa State",2012,6,0,15,2013
"128","Aaron Liberman","Northwestern",2013,10,0,9,2014
"129","Aaron Moesch","Wisconsin",2014,14,0,28,2015
"130","Aaron Moesch","Wisconsin",2015,15,0,48,2016
"131","Aaron Moesch","Wisconsin",2016,17,0,40,2017
"132","Aaron Moesch","Wisconsin",2017,26,0,157,2018
"133","Aaron Nesmith","Vanderbilt",2018,32,19,928,2019
"134","Aaron Nesmith","Vanderbilt",2019,14,14,500,2020
"135","Aaron Noll","Vanderbilt",2010,4,0,8,2011
"136","Aaron Noll","Vanderbilt",2011,4,0,3,2012
"137","Aaron Pogue","Cleveland State",2010,36,36,902,2011
"138","Aaron Pogue","Cleveland State",2011,32,32,674,2012
"139","Aaron Scales","Cleveland State",2012,24,0,133,2013
"140","Aaron Scales","Cleveland State",2014,24,0,133,2015
"141","Aaron Scales","Cleveland State",2015,24,0,193,2016
"142","Aaron Siler","Eastern Illinois",2013,11,0,40,2014
"143","Aaron Siler","Southern Illinois",2015,2,0,3,2016
"144","Aaron Simpson","DePaul",2014,32,10,544,2015
"145","Aaron Simpson","DePaul",2015,30,20,718,2016
"146","Aaron Tate","Robert Morris",2013,36,12,669,2014
"147","Aaron Tate","Robert Morris",2014,33,30,791,2015
"148","Aaron Tate","Robert Morris",2015,3,0,46,2016
"149","Aaron Tate","Robert Morris",2016,33,32,897,2017
"150","Aaron Thompson","Butler",2017,35,32,845,2018
"151","Aaron Thompson","Butler",2018,33,33,892,2019
"152","Aaron Thompson","Butler",2019,27,27,874,2020
"153","Aaron Thompson","Butler",2020,14,14,472,2021
"154","Aaron Thompson","Butler",2021,30,30,958,2022
"155","Aaron Wheeler","Purdue",2018,36,0,495,2019
"156","Aaron Wheeler","Purdue",2019,31,9,551,2020
"157","Aaron Wheeler","Purdue",2020,28,5,512,2021
"158","Aaron White","Iowa",2011,35,14,834,2012
"159","Aaron White","Iowa",2012,38,38,1109,2013
"160","Aaron White","Iowa",2013,33,33,926,2014
"161","Aaron White","Iowa",2014,34,34,1070,2015
"162","Aaron Williams","Chicago State",2011,29,3,426,2012
"163","Aaron Williams","Chicago State",2012,25,4,260,2013
"164","Aaron Williams","Chicago State",2014,24,4,250,2015
"165","Aaron Young","Oral Roberts",2014,31,25,724,2015
"166","Aaron Young","Oral Roberts",2015,31,14,570,2016
"167","Aaron Young","Oral Roberts",2016,28,12,691,2017
"168","Abayomi Iyiola","Kansas State",2022,31,9,350,2023
"169","Abdel Nader","Iowa State",2014,32,0,524,2015
"170","Abdel Nader","Iowa State",2015,35,35,1088,2016
"171","Abdel Nader","Northern Illinois",2011,31,29,750,2012
"172","Abdel Nader","Northern Illinois",2012,19,18,483,2013
"173","Abdou Ndiaye","Illinois State",2019,28,9,333,2020
"174","Abdou Ndiaye","Illinois State",2020,23,8,326,2021
"175","Abdou Ndiaye","Illinois State",2021,26,4,246,2022
"176","Abdou Niang","Western Illinois",2010,23,6,276,2011
"177","Abdou Samb","IUPUI",2023,8,0,139,2024
"178","Abdoul Karim Coulibaly","Pittsburgh",2019,26,0,244,2020
"179","Abdoul Karim Coulibaly","Pittsburgh",2020,22,20,494,2021
"180","Abdoulaye Harouna","Miami (OH)",2015,33,18,630,2016
"181","Abdoulaye Harouna","Miami (OH)",2016,30,27,758,2017
"182","Abdoulaye Harouna","Miami (OH)",2018,32,16,470,2019
"183","Abdoulaye Thiam","Minnesota",2021,15,0,49,2022
"184","Abdul Ado","Cincinnati",2021,32,32,556,2022
"185","Abdul Ahmed","Oklahoma",2010,1,0,2,2011
"186","Abdul Fofana","Missouri State",2017,13,0,67,2018
"187","Abdullah Olajuwon","Detroit Mercy",2023,7,5,118,2024
"188","Abednego Lufile","East Tennessee State",2015,29,8,315,2016
"189","Abel Tillman","Southern Illinois-Edwardsville",2010,7,0,95,2011
"190","Abiola Akintola","Denver",2015,1,0,2,2016
"191","Abiola Akintola","Denver",2016,28,1,190,2017
"192","Abiola Akintola","Denver",2017,29,10,321,2018
"193","Abiola Akintola","Denver",2018,30,16,577,2019
"194","Abou Ousmane","Xavier",2023,7,4,108,2024
"195","Aboubacar Diallo","Eastern Illinois",2015,15,1,65,2016
"196","Aboubacar Diallo","Eastern Illinois",2016,27,2,184,2017
"197","Aboubacar Diallo","Eastern Illinois",2017,31,6,403,2018
"198","Aboubacar Diallo","Eastern Illinois",2018,25,15,263,2019
"199","Abraham Millsap","Tennessee State",2012,6,0,30,2013
"200","Acoydan McCarthy","Austin Peay",2017,23,0,107,2018
"201","Acton Shirley","IUPUI",2020,9,0,25,2021
"202","Adam Anhold","Western Illinois",2020,15,0,203,2021
"203","Adam Anhold","Western Illinois",2021,13,0,58,2022
"204","Adam Barnes","Belmont",2010,29,0,107,2011
"205","Adam Barnes","Belmont",2011,35,2,357,2012
"206","Adam Barnes","Belmont",2012,31,0,160,2013
"207","Adam Cook","Cincinnati",2020,4,1,4,2021
"208","Adam Cooper","Loyola (IL)",2011,8,0,7,2012
"209","Adam Denison","East Tennessee State",2013,1,0,0,2014
"210","Adam Dykman","South Dakota State",2016,9,0,23,2017
"211","Adam Giles","Wright State",2016,7,0,17,2017
"212","Adam Giles","Wright State",2017,7,1,17,2018
"213","Adam Giles","Wright State",2018,14,0,33,2019
"214","Adam Glenville","Oral Roberts",2013,5,0,8,2014
"215","Adam Glenville","Oral Roberts",2015,4,0,22,2016
"216","Adam Kozinski","Central Michigan",2017,6,1,8,2018
"217","Adam Kunkel","Belmont",2018,25,0,232,2019
"218","Adam Kunkel","Belmont",2019,33,33,982,2020
"219","Adam Kunkel","Xavier",2020,16,4,300,2021
"220","Adam Kunkel","Xavier",2021,34,4,783,2022
"221","Adam Kunkel","Xavier",2022,35,32,1062,2023
"222","Adam Leonard","Missouri State",2010,35,35,1178,2011
"223","Adam Link","Western Illinois",2012,31,31,1017,2013
"224","Adam Link","Western Illinois",2013,30,21,866,2014
"225","Adam McDermott","North Dakota",2015,32,1,725,2016
"226","Adam McDermott","Northern Iowa",2017,8,0,78,2018
"227","Adam Miller","Illinois",2020,31,31,792,2021
"228","Adam Pike","Austin Peay",2015,6,0,7,2016
"229","Adam Sollazzo","East Tennessee State",2010,36,27,1014,2011
"230","Adam Sollazzo","East Tennessee State",2011,31,31,1083,2012
"231","Adam Thomas","Miami (OH)",2010,7,0,9,2011
"232","Adam Thomas","Miami (OH)",2011,26,5,287,2012
"233","Adam Thoseby","South Dakota",2013,30,11,552,2014
"234","Adam Thoseby","South Dakota",2014,25,0,143,2015
"235","Adam Wing","Evansville",2012,30,10,467,2013
"236","Adam Wing","Evansville",2013,33,33,1035,2014
"237","Adam Wing","Evansville",2014,30,25,825,2015
"238","Adam Wing","Evansville",2015,34,34,1001,2016
"239","Adam Wolf","Missouri",2015,7,0,25,2016
"240","Adam Wolf","Missouri",2016,10,0,22,2017
"241","Adam Wolf","Missouri",2017,4,0,10,2018
"242","Adam Wolf","Missouri",2018,4,0,4,2019
"243","Adam Woodbury","Iowa",2012,38,38,627,2013
"244","Adam Woodbury","Iowa",2013,33,33,558,2014
"245","Adam Woodbury","Iowa",2014,34,33,697,2015
"246","Adam Woodbury","Iowa",2015,33,33,836,2016
"247","Adarius Avery","Loyola (IL)",2017,12,0,94,2018
"248","Addison Joseph","Drake",2013,2,0,0,2014
"249","Ade Murkey","Denver",2016,27,2,287,2017
"250","Ade Murkey","Denver",2017,30,29,744,2018
"251","Ade Murkey","Denver",2018,30,26,731,2019
"252","Ade Murkey","Denver",2019,31,31,1000,2020
"253","Adedeji Ibitayo","Akron",2011,10,1,91,2012
"254","Adedeji Ibitayo","Akron",2012,29,2,319,2013
"255","Adedeji Ibitayo","Akron",2013,29,20,438,2014
"256","Adedeji Ibitayo","Akron",2014,34,3,660,2015
"257","Adeola Seun","Southern Illinois-Edwardsville",2023,3,0,8,2024
"258","Adetunji Adedipe","Ohio",2010,23,0,92,2011
"259","Adham Eleeda","Northern Kentucky",2019,25,1,384,2020
"260","Adham Eleeda","Northern Kentucky",2020,20,14,376,2021
"261","Adida Ikongshul","Western Michigan",2016,21,0,130,2017
"262","Adida Ikongshul","Western Michigan",2017,16,0,125,2018
"263","Adida Ikongshul","Western Michigan",2018,28,0,153,2019
"264","Adida Ikongshul","Western Michigan",2019,16,1,58,2020
"265","Admiral Schofield","Tennessee",2015,32,22,598,2016
"266","Admiral Schofield","Tennessee",2016,28,2,533,2017
"267","Admiral Schofield","Tennessee",2017,35,34,982,2018
"268","Admiral Schofield","Tennessee",2018,37,37,1175,2019
"269","Adnan Hodzic","Lipscomb",2010,30,30,949,2011
"270","Adong Makuoi","Northern Illinois",2020,17,14,306,2021
"271","Adong Makuoi","Northern Illinois",2021,30,25,507,2022
"272","Adong Makuoi","Tennessee State",2022,32,32,718,2023
"273","Adonis De La Rosa","Illinois",2018,26,1,230,2019
"274","Adonis De La Rosa","Kent State",2016,36,15,477,2017
"275","Adonis De La Rosa","Kent State",2017,34,32,874,2018
"276","Adonis Thomas","Memphis",2011,19,8,455,2012
"277","Adonis Thomas","Memphis",2012,36,36,1056,2013
"278","Adreian Payne","Michigan State",2010,34,6,306,2011
"279","Adreian Payne","Michigan State",2011,37,36,661,2012
"280","Adreian Payne","Michigan State",2012,36,24,922,2013
"281","Adreian Payne","Michigan State",2013,31,28,870,2014
"282","Adrian Burton","Eastern Michigan",2010,24,4,264,2011
"283","Adrian Chapman","Indiana",2019,1,0,1,2020
"284","Adrian Diaz","Kansas State",2011,23,0,231,2012
"285","Adrian Diaz","Kansas State",2012,26,0,201,2013
"286","Adrian Martin","Western Michigan",2018,26,1,315,2019
"287","Adrian Martin","Western Michigan",2019,19,0,158,2020
"288","Adrian Martin","Western Michigan",2020,20,11,320,2021
"289","Adrian Martin","Western Michigan",2021,30,14,553,2022
"290","Adrian Nelson","Northern Kentucky",2018,30,0,251,2019
"291","Adrian Nelson","Northern Kentucky",2019,29,3,511,2020
"292","Adrian Nelson","Northern Kentucky",2020,25,25,729,2021
"293","Adrian Nelson","Northern Kentucky",2021,30,12,614,2022
"294","Adrian Nelson","Youngstown State",2022,34,34,1093,2023
"295","Adrian Samuels","Vanderbilt",2022,3,0,7,2023
"296","Adrian Tucker","Ball State",2010,4,0,10,2011
"297","Adrien Nunez","Michigan",2018,20,0,39,2019
"298","Adrien Nunez","Michigan",2019,22,4,167,2020
"299","Adrien Nunez","Michigan",2020,10,0,34,2021
"300","Adrien Nunez","Michigan",2021,10,0,31,2022
"301","Adrion Webber","Oral Roberts",2013,32,1,328,2014
"302","Adrion Webber","Oral Roberts",2014,34,7,478,2015
"303","Ahamad Bynum","DePaul",2022,11,0,140,2023
"304","Aher Uguak","Loyola (IL)",2018,34,28,854,2019
"305","Aher Uguak","Loyola (IL)",2019,32,31,768,2020
"306","Aher Uguak","Loyola (IL)",2020,31,31,760,2021
"307","Aher Uguak","Loyola (IL)",2021,32,32,930,2022
"308","Ahmad Gilbert","Minnesota",2015,21,6,295,2016
"309","Ahmad Gilbert","Minnesota",2016,15,0,75,2017
"310","Ahmad Rand","Memphis",2020,3,0,18,2021
"311","Ahmad Rand","Milwaukee",2022,34,33,642,2023
"312","Ahmad Starks","Illinois",2014,33,20,794,2015
"313","Ahmad Wagner","Iowa",2015,32,0,323,2016
"314","Ahmad Wagner","Iowa",2016,34,18,545,2017
"315","Ahmad Wagner","Iowa",2017,30,7,272,2018
"316","Ahman Fells","Illinois-Chicago",2011,11,0,50,2012
"317","Ahman Fells","Illinois-Chicago",2012,18,0,102,2013
"318","Ahman Fells","Illinois-Chicago",2013,25,0,222,2014
"319","Ahman Fells","Illinois-Chicago",2014,33,22,751,2015
"320","Ahmed Ismail","IUPUI",2018,33,10,601,2019
"321","Ahmet Jonovic","Bradley",2022,5,0,24,2023
"322","Ahmet Jonovic","Bradley",2023,7,2,88,2024
"323","Ahron Ulis","Iowa",2020,17,0,119,2021
"324","Ahron Ulis","Iowa",2021,35,0,485,2022
"325","Ahron Ulis","Iowa",2022,32,27,724,2023
"326","Ahsan Asadullah","Lipscomb",2018,37,2,524,2019
"327","Ahsan Asadullah","Lipscomb",2019,31,30,924,2020
"328","Ahsan Asadullah","Lipscomb",2020,27,27,764,2021
"329","Ahsan Asadullah","Lipscomb",2021,25,24,714,2022
"330","Ahsan Asadullah","Lipscomb",2022,33,33,758,2023
"331","Aidan Braccia","Belmont",2022,8,0,17,2023
"332","Aidan Fisch","Pittsburgh",2020,3,0,5,2021
"333","Aidan Fisch","Pittsburgh",2021,3,0,2,2022
"334","Aidan Fisch","Pittsburgh",2022,10,0,22,2023
"335","Aidan Hadaway","Ohio",2022,22,0,154,2023
"336","Aidan Hadaway","Ohio",2023,6,0,68,2024
"337","Aidan Rubio","Central Michigan",2023,6,6,151,2024
"338","Aidan Saunders","Oral Roberts",2018,32,8,558,2019
"339","Aidan Saunders","Oral Roberts",2019,29,0,243,2020
"340","Aidan Shaw","Missouri",2022,32,2,338,2023
"341","Aidan Shaw","Missouri",2023,8,1,137,2024
"342","Aireus Stephenson","South Dakota State",2010,18,0,129,2011
"343","AJ Bramah","Robert Morris",2019,33,13,949,2020
"344","AJ Bramah","Robert Morris",2020,12,11,411,2021
"345","AJ Braun","Wright State",2021,28,22,418,2022
"346","AJ Braun","Wright State",2022,33,24,684,2023
"347","AJ Braun","Wright State",2023,7,7,164,2024
"348","AJ Brown","Ohio",2022,26,8,538,2023
"349","AJ Brown","Ohio",2023,6,6,183,2024
"350","AJ Clayton","Ohio",2021,34,0,340,2022
"351","AJ Clayton","Ohio",2022,33,16,645,2023
"352","AJ Clayton","Ohio",2023,6,6,148,2024
"353","AJ Edu","Toledo",2018,33,2,472,2019
"354","AJ Edu","Toledo",2020,2,2,47,2021
"355","AJ Edu","Toledo",2021,2,0,5,2022
"356","AJ Edu","Toledo",2022,35,0,433,2023
"357","AJ Ferguson","Southern Illinois",2022,11,0,59,2023
"358","AJ Ferguson","Southern Illinois",2023,5,5,106,2024
"359","AJ Green","Northern Iowa",2018,34,34,1017,2019
"360","AJ Green","Northern Iowa",2019,31,31,1080,2020
"361","AJ Green","Northern Iowa",2020,3,3,109,2021
"362","AJ Green","Northern Iowa",2021,31,31,1129,2022
"363","AJ Neal","Chicago State",2023,10,1,135,2024
"364","AJ Redd","Illinois",2022,2,0,2,2023
"365","AJ Redd","Illinois",2023,3,0,7,2024
"366","AJ Storr","Wisconsin",2023,7,7,166,2024
"367","Ajani Kennedy","Tennessee-Martin",2020,24,19,630,2021
"368","Ajay Sheldon","Ohio",2022,29,1,243,2023
"369","Ajay Sheldon","Ohio",2023,6,0,74,2024
"370","Akeem Odusipe","Kent State",2021,26,14,186,2022
"371","Akeem Odusipe","Kent State",2022,13,0,53,2023
"372","Akeem Odusipe","Vanderbilt",2020,11,0,46,2021
"373","Akeem Springs","Milwaukee",2014,28,22,868,2015
"374","Akeem Springs","Milwaukee",2015,32,32,1022,2016
"375","Akeem Springs","Minnesota",2016,32,15,768,2017
"376","Akeem Springs","Northern Illinois",2012,18,8,356,2013
"377","Akiean Frederick","Kent State",2017,25,4,251,2018
"378","Akiean Frederick","Kent State",2018,31,4,582,2019
"379","Akintoye Okunrinboye","Southern Illinois-Edwardsville",2013,1,0,4,2014
"380","Akol Arop","Nebraska",2019,21,0,114,2020
"381","Akol Arop","Omaha",2021,29,18,538,2022
"382","Akol Arop","Omaha",2022,20,2,300,2023
"383","Akolda Manyang","Oklahoma",2015,25,0,199,2016
"384","Akolda Mawein","Oklahoma",2021,18,0,65,2022
"385","Aksel Bolin","Northern Illinois",2010,22,0,238,2011
"386","Aksel Bolin","Northern Illinois",2011,31,29,794,2012
"387","Aksel Bolin","Northern Illinois",2012,30,25,801,2013
"388","Aksel Bolin","Northern Illinois",2013,31,25,800,2014
"389","Al Amadou","Marquette",2023,4,0,18,2024
"390","Al Eichelberger","Cleveland State",2018,31,12,413,2019
"391","Al Eichelberger","Cleveland State",2019,29,29,798,2020
"392","Al Eichelberger","Cleveland State",2020,19,0,308,2021
"393","Al Eichelberger","Cleveland State",2021,1,0,2,2022
"394","Al Eichelberger","DePaul",2016,26,0,212,2017
"395","Al Nolen","Minnesota",2010,14,13,408,2011
"396","Alan Griffin","Illinois",2018,30,1,234,2019
"397","Alan Griffin","Illinois",2019,28,1,506,2020
"398","Alan Vest","Wright State",2015,21,0,214,2016
"399","Alan Vest","Wright State",2016,20,0,139,2017
"400","Alan Vest","Wright State",2017,14,0,70,2018
"401","Alan Vest","Wright State",2018,35,26,808,2019
"402","Albert Owens","Oral Roberts",2014,34,5,404,2015
"403","Albert Owens","Oral Roberts",2015,31,26,739,2016
"404","Albert Owens","Oral Roberts",2016,30,27,934,2017
"405","Albert Owens","Oral Roberts",2017,31,17,763,2018
"406","Aldonis Foote","Middle Tennessee",2015,29,0,253,2016
"407","Aldonis Foote","Middle Tennessee",2016,31,2,255,2017
"408","Alec Brown","Green Bay",2010,32,32,804,2011
"409","Alec Brown","Green Bay",2011,30,29,938,2012
"410","Alec Brown","Green Bay",2012,34,34,1042,2013
"411","Alec Brown","Green Bay",2013,30,30,909,2014
"412","Alec Kegler","Tennessee",2022,2,0,3,2023
"413","Alec Oglesby","Cleveland State",2020,27,2,432,2021
"414","Alec Peters","Valparaiso",2013,34,34,1006,2014
"415","Alec Peters","Valparaiso",2014,34,34,1039,2015
"416","Alec Peters","Valparaiso",2015,37,37,1186,2016
"417","Alec Peters","Valparaiso",2016,29,29,1019,2017
"418","Alec Rosner","Western Illinois",2022,30,30,1109,2023
"419","Alec Woodard","Austin Peay",2019,31,4,510,2020
"420","Alec Woodard","Austin Peay",2020,25,11,488,2021
"421","Alec Woodard","Austin Peay",2021,24,13,472,2022
"422","Aleem Ford","Wisconsin",2017,33,20,805,2018
"423","Aleem Ford","Wisconsin",2018,31,0,428,2019
"424","Aleem Ford","Wisconsin",2019,31,31,778,2020
"425","Aleem Ford","Wisconsin",2020,31,31,818,2021
"426","Aleks Abrams","Miami (OH)",2018,31,2,292,2019
"427","Aleksa Jugovic","Tennessee Tech",2014,30,3,538,2015
"428","Aleksa Jugovic","Tennessee Tech",2015,31,31,982,2016
"429","Aleksa Jugovic","Tennessee Tech",2016,32,31,1123,2017
"430","Aleksa Jugovic","Tennessee Tech",2017,23,20,685,2018
"431","Aleksa Novakovic","Eastern Illinois",2015,8,0,26,2016
"432","Aleksa Popovic","Cleveland State",2018,13,0,64,2019
"433","Alex Abreu","Akron",2010,36,15,708,2011
"434","Alex Abreu","Akron",2011,31,31,945,2012
"435","Alex Abreu","Akron",2012,29,28,877,2013
"436","Alex Allbery","Omaha",2015,7,0,28,2016
"437","Alex Allbery","Omaha",2016,10,0,46,2017
"438","Alex Allbery","Omaha",2017,26,1,217,2018
"439","Alex Anderson","Tennessee-Martin",2014,34,33,1187,2015
"440","Alex Anderson","Tennessee-Martin",2015,35,33,1131,2016
"441","Alex Anglin","Butler",2010,18,2,77,2011
"442","Alex Arians","South Dakota State",2018,33,24,949,2019
"443","Alex Arians","South Dakota State",2019,32,32,949,2020
"444","Alex Arians","South Dakota State",2020,23,23,732,2021
"445","Alex Arians","South Dakota State",2021,35,35,930,2022
"446","Alex Arians","South Dakota State",2022,27,23,863,2023
"447","Alex Austin","Eastern Illinois",2012,32,19,761,2013
"448","Alex Austin","Eastern Illinois",2013,27,16,599,2014
"449","Alex Austin","Illinois",2015,31,5,304,2016
"450","Alex Austin","Illinois",2016,9,0,20,2017
"451","Alex Barlow","Butler",2011,16,0,77,2012
"452","Alex Barlow","Butler",2012,35,23,679,2013
"453","Alex Barlow","Butler",2013,31,31,1021,2014
"454","Alex Barlow","Butler",2014,34,34,1154,2015
"455","Alex Bates","East Tennessee State",2014,25,15,286,2015
"456","Alex Bates","Tennessee State",2013,29,12,310,2014
"457","Alex Bergen","Xavier",2015,4,0,4,2016
"458","Alex Bergen","Xavier",2016,9,0,8,2017
"459","Alex Bran","Chattanooga",2012,19,0,113,2013
"460","Alex Bran","Chattanooga",2013,24,0,261,2014
