"","season","schl","result","games"
"808",2016,"Cincinnati","W",30
"809",2016,"Cleveland State","L",22
"810",2016,"Cleveland State","W",9
"811",2016,"Creighton","L",10
"812",2016,"Creighton","W",25
"813",2016,"Denver","L",14
"814",2016,"Denver","W",16
"815",2016,"Detroit Mercy","L",23
"816",2016,"Detroit Mercy","W",8
"817",2016,"Drake","L",24
"818",2016,"Drake","W",7
"819",2016,"Eastern Michigan","L",17
"820",2016,"Eastern Michigan","W",16
"821",2016,"Evansville","L",17
"822",2016,"Evansville","W",16
"823",2016,"Green Bay","L",14
"824",2016,"Green Bay","W",18
"825",2016,"Illinois","L",15
"826",2016,"Illinois","W",20
"827",2016,"Illinois-Chicago","L",19
"828",2016,"Illinois-Chicago","W",17
"829",2016,"Illinois State","L",7
"830",2016,"Illinois State","W",28
"831",2016,"Indiana","L",16
"832",2016,"Indiana","W",18
"833",2016,"Indiana State","L",20
"834",2016,"Indiana State","W",11
"835",2016,"Iowa","L",15
"836",2016,"Iowa","W",19
"837",2016,"Iowa State","L",11
"838",2016,"Iowa State","W",24
"839",2016,"IUPUI","L",18
"840",2016,"IUPUI","W",14
"841",2016,"Kansas","L",5
"842",2016,"Kansas","W",31
"843",2016,"Kansas State","L",14
"844",2016,"Kansas State","W",21
"845",2016,"Kent State","L",14
"846",2016,"Kent State","W",22
"847",2016,"Loyola (IL)","L",14
"848",2016,"Loyola (IL)","W",18
"849",2016,"Memphis","L",13
"850",2016,"Memphis","W",19
"851",2016,"Miami (OH)","L",21
"852",2016,"Miami (OH)","W",11
"853",2016,"Michigan","L",12
"854",2016,"Michigan","W",26
"855",2016,"Michigan State","L",15
"856",2016,"Michigan State","W",20
"857",2016,"Milwaukee","L",24
"858",2016,"Milwaukee","W",11
"859",2016,"Minnesota","L",10
"860",2016,"Minnesota","W",24
"861",2016,"Missouri","L",24
"862",2016,"Missouri","W",8
"863",2016,"Missouri State","L",16
"864",2016,"Missouri State","W",17
"865",2016,"Murray State","L",17
"866",2016,"Murray State","W",16
"867",2016,"Nebraska","L",19
"868",2016,"Nebraska","W",12
"869",2016,"North Dakota","L",10
"870",2016,"North Dakota","W",22
"871",2016,"North Dakota State","L",11
"872",2016,"North Dakota State","W",19
"873",2016,"Northern Illinois","L",17
"874",2016,"Northern Illinois","W",15
"875",2016,"Northern Iowa","L",16
"876",2016,"Northern Iowa","W",14
"877",2016,"Northern Kentucky","L",11
"878",2016,"Northern Kentucky","W",24
"879",2016,"Northwestern","L",12
"880",2016,"Northwestern","W",24
"881",2016,"Notre Dame","L",10
"882",2016,"Notre Dame","W",26
"883",2016,"Ohio","L",11
"884",2016,"Ohio","W",20
"885",2016,"Ohio State","L",15
"886",2016,"Ohio State","W",17
"887",2016,"Oklahoma","L",20
"888",2016,"Oklahoma","W",11
"889",2016,"Oklahoma State","L",13
"890",2016,"Oklahoma State","W",20
"891",2016,"Oral Roberts","L",22
"892",2016,"Oral Roberts","W",8
"893",2016,"Pittsburgh","L",17
"894",2016,"Pittsburgh","W",16
"895",2016,"Purdue","L",8
"896",2016,"Purdue","W",27
"897",2016,"Robert Morris","L",19
"898",2016,"Robert Morris","W",14
"899",2016,"South Dakota","L",12
"900",2016,"South Dakota","W",22
"901",2016,"South Dakota State","L",17
"902",2016,"South Dakota State","W",18
"903",2016,"Southern Illinois","L",16
"904",2016,"Southern Illinois","W",17
"905",2016,"Toledo","L",17
"906",2016,"Toledo","W",17
"907",2016,"Tulsa","L",17
"908",2016,"Tulsa","W",15
"909",2016,"Valparaiso","L",9
"910",2016,"Valparaiso","W",24
"911",2016,"Western Michigan","L",16
"912",2016,"Western Michigan","W",16
"913",2016,"Wichita State","L",5
"914",2016,"Wichita State","W",31
"915",2016,"Wisconsin","L",10
"916",2016,"Wisconsin","W",27
"917",2016,"Wright State","L",12
"918",2016,"Wright State","W",20
"919",2016,"Youngstown State","L",21
"920",2016,"Youngstown State","W",13
"921",2017,"Akron","L",18
"922",2017,"Akron","W",14
"923",2017,"Ball State","L",13
"924",2017,"Ball State","W",19
"925",2017,"Belmont","L",9
"926",2017,"Belmont","W",24
"927",2017,"Bowling Green State","L",16
"928",2017,"Bowling Green State","W",16
"929",2017,"Bradley","L",13
"930",2017,"Bradley","W",20
"931",2017,"Buffalo","L",9
"932",2017,"Buffalo","W",27
"933",2017,"Butler","L",14
"934",2017,"Butler","W",21
"935",2017,"Central Michigan","L",15
"936",2017,"Central Michigan","W",21
"937",2017,"Chicago State","L",29
"938",2017,"Chicago State","W",3
"939",2017,"Cincinnati","L",5
"940",2017,"Cincinnati","W",31
"941",2017,"Cleveland State","L",23
"942",2017,"Cleveland State","W",12
"943",2017,"Creighton","L",12
"944",2017,"Creighton","W",21
"945",2017,"Denver","L",15
"946",2017,"Denver","W",15
"947",2017,"Detroit Mercy","L",24
"948",2017,"Detroit Mercy","W",8
"949",2017,"Drake","L",17
"950",2017,"Drake","W",17
"951",2017,"Eastern Michigan","L",13
"952",2017,"Eastern Michigan","W",22
"953",2017,"Evansville","L",15
"954",2017,"Evansville","W",17
"955",2017,"Green Bay","L",20
"956",2017,"Green Bay","W",13
"957",2017,"Illinois","L",18
"958",2017,"Illinois","W",14
"959",2017,"Illinois-Chicago","L",16
"960",2017,"Illinois-Chicago","W",20
"961",2017,"Illinois State","L",15
"962",2017,"Illinois State","W",18
"963",2017,"Indiana","L",15
"964",2017,"Indiana","W",16
"965",2017,"Indiana State","L",18
"966",2017,"Indiana State","W",13
"967",2017,"Iowa","L",19
"968",2017,"Iowa","W",14
"969",2017,"Iowa State","L",18
"970",2017,"Iowa State","W",13
"971",2017,"IUPUI","L",19
"972",2017,"IUPUI","W",11
"973",2017,"Kansas","L",8
"974",2017,"Kansas","W",31
"975",2017,"Kansas State","L",12
"976",2017,"Kansas State","W",25
"977",2017,"Kent State","L",17
"978",2017,"Kent State","W",17
"979",2017,"Loyola (IL)","L",6
"980",2017,"Loyola (IL)","W",32
"981",2017,"Memphis","L",13
"982",2017,"Memphis","W",21
"983",2017,"Miami (OH)","L",18
"984",2017,"Miami (OH)","W",16
"985",2017,"Michigan","L",8
"986",2017,"Michigan","W",33
"987",2017,"Michigan State","L",5
"988",2017,"Michigan State","W",30
"989",2017,"Milwaukee","L",17
"990",2017,"Milwaukee","W",16
"991",2017,"Minnesota","L",17
"992",2017,"Minnesota","W",15
"993",2017,"Missouri","L",13
"994",2017,"Missouri","W",20
"995",2017,"Missouri State","L",15
"996",2017,"Missouri State","W",18
"997",2017,"Murray State","L",6
"998",2017,"Murray State","W",26
"999",2017,"Nebraska","L",11
"1000",2017,"Nebraska","W",22
"1001",2017,"North Dakota","L",20
"1002",2017,"North Dakota","W",12
"1003",2017,"North Dakota State","L",17
"1004",2017,"North Dakota State","W",15
"1005",2017,"Northern Illinois","L",19
"1006",2017,"Northern Illinois","W",13
"1007",2017,"Northern Iowa","L",16
"1008",2017,"Northern Iowa","W",16
"1009",2017,"Northern Kentucky","L",10
"1010",2017,"Northern Kentucky","W",22
"1011",2017,"Northwestern","L",17
"1012",2017,"Northwestern","W",15
"1013",2017,"Notre Dame","L",15
"1014",2017,"Notre Dame","W",21
"1015",2017,"Ohio","L",17
"1016",2017,"Ohio","W",14
"1017",2017,"Ohio State","L",9
"1018",2017,"Ohio State","W",25
"1019",2017,"Oklahoma","L",14
"1020",2017,"Oklahoma","W",18
"1021",2017,"Oklahoma State","L",15
"1022",2017,"Oklahoma State","W",21
"1023",2017,"Oral Roberts","L",21
"1024",2017,"Oral Roberts","W",11
"1025",2017,"Pittsburgh","L",24
"1026",2017,"Pittsburgh","W",8
"1027",2017,"Purdue","L",7
"1028",2017,"Purdue","W",30
"1029",2017,"Robert Morris","L",17
"1030",2017,"Robert Morris","W",16
"1031",2017,"South Dakota","L",9
"1032",2017,"South Dakota","W",26
"1033",2017,"South Dakota State","L",7
"1034",2017,"South Dakota State","W",28
"1035",2017,"Southern Illinois","L",13
"1036",2017,"Southern Illinois","W",20
"1037",2017,"Toledo","L",11
"1038",2017,"Toledo","W",23
"1039",2017,"Tulsa","L",12
"1040",2017,"Tulsa","W",19
"1041",2017,"Valparaiso","L",17
"1042",2017,"Valparaiso","W",15
"1043",2017,"Western Michigan","L",15
"1044",2017,"Western Michigan","W",17
"1045",2017,"Wichita State","L",8
"1046",2017,"Wichita State","W",25
"1047",2017,"Wisconsin","L",18
"1048",2017,"Wisconsin","W",15
"1049",2017,"Wright State","L",10
"1050",2017,"Wright State","W",25
"1051",2017,"Youngstown State","L",24
"1052",2017,"Youngstown State","W",8
"1053",2018,"Akron","L",16
"1054",2018,"Akron","W",17
"1055",2018,"Ball State","L",17
"1056",2018,"Ball State","W",16
"1057",2018,"Belmont","L",6
"1058",2018,"Belmont","W",27
"1059",2018,"Bowling Green State","L",12
"1060",2018,"Bowling Green State","W",22
"1061",2018,"Bradley","L",15
"1062",2018,"Bradley","W",20
"1063",2018,"Buffalo","L",4
"1064",2018,"Buffalo","W",32
"1065",2018,"Butler","L",17
"1066",2018,"Butler","W",16
"1067",2018,"Central Michigan","L",12
"1068",2018,"Central Michigan","W",23
"1069",2018,"Chicago State","L",29
"1070",2018,"Chicago State","W",3
"1071",2018,"Cincinnati","L",7
"1072",2018,"Cincinnati","W",28
"1073",2018,"Cleveland State","L",21
"1074",2018,"Cleveland State","W",10
"1075",2018,"Creighton","L",15
"1076",2018,"Creighton","W",20
"1077",2018,"Denver","L",22
"1078",2018,"Denver","W",8
"1079",2018,"Detroit Mercy","L",20
"1080",2018,"Detroit Mercy","W",11
"1081",2018,"Drake","L",10
"1082",2018,"Drake","W",24
"1083",2018,"Eastern Michigan","L",17
"1084",2018,"Eastern Michigan","W",15
"1085",2018,"Evansville","L",21
"1086",2018,"Evansville","W",11
"1087",2018,"Green Bay","L",17
"1088",2018,"Green Bay","W",21
"1089",2018,"Illinois","L",21
"1090",2018,"Illinois","W",12
"1091",2018,"Illinois-Chicago","L",16
"1092",2018,"Illinois-Chicago","W",16
"1093",2018,"Illinois State","L",16
"1094",2018,"Illinois State","W",17
"1095",2018,"Indiana","L",16
"1096",2018,"Indiana","W",19
"1097",2018,"Indiana State","L",16
"1098",2018,"Indiana State","W",15
"1099",2018,"Iowa","L",12
"1100",2018,"Iowa","W",23
"1101",2018,"Iowa State","L",12
"1102",2018,"Iowa State","W",23
"1103",2018,"IUPUI","L",17
"1104",2018,"IUPUI","W",16
"1105",2018,"Kansas","L",10
"1106",2018,"Kansas","W",26
"1107",2018,"Kansas State","L",9
"1108",2018,"Kansas State","W",25
"1109",2018,"Kent State","L",11
"1110",2018,"Kent State","W",22
"1111",2018,"Loyola (IL)","L",14
"1112",2018,"Loyola (IL)","W",20
"1113",2018,"Memphis","L",14
"1114",2018,"Memphis","W",22
"1115",2018,"Miami (OH)","L",17
"1116",2018,"Miami (OH)","W",15
"1117",2018,"Michigan","L",7
"1118",2018,"Michigan","W",30
"1119",2018,"Michigan State","L",7
"1120",2018,"Michigan State","W",32
"1121",2018,"Milwaukee","L",22
"1122",2018,"Milwaukee","W",9
"1123",2018,"Minnesota","L",14
"1124",2018,"Minnesota","W",22
"1125",2018,"Missouri","L",17
"1126",2018,"Missouri","W",15
"1127",2018,"Missouri State","L",16
"1128",2018,"Missouri State","W",16
"1129",2018,"Murray State","L",5
"1130",2018,"Murray State","W",28
"1131",2018,"Nebraska","L",17
"1132",2018,"Nebraska","W",19
"1133",2018,"North Dakota","L",18
"1134",2018,"North Dakota","W",12
"1135",2018,"North Dakota State","L",16
"1136",2018,"North Dakota State","W",19
"1137",2018,"Northern Illinois","L",17
"1138",2018,"Northern Illinois","W",17
"1139",2018,"Northern Iowa","L",18
"1140",2018,"Northern Iowa","W",16
"1141",2018,"Northern Kentucky","L",9
"1142",2018,"Northern Kentucky","W",26
"1143",2018,"Northwestern","L",19
"1144",2018,"Northwestern","W",13
"1145",2018,"Notre Dame","L",19
"1146",2018,"Notre Dame","W",14
"1147",2018,"Ohio","L",17
"1148",2018,"Ohio","W",14
"1149",2018,"Ohio State","L",15
"1150",2018,"Ohio State","W",20
"1151",2018,"Oklahoma","L",14
"1152",2018,"Oklahoma","W",20
"1153",2018,"Oklahoma State","L",20
"1154",2018,"Oklahoma State","W",12
"1155",2018,"Oral Roberts","L",21
"1156",2018,"Oral Roberts","W",11
"1157",2018,"Pittsburgh","L",19
"1158",2018,"Pittsburgh","W",14
"1159",2018,"Purdue","L",10
"1160",2018,"Purdue","W",26
"1161",2018,"Robert Morris","L",17
"1162",2018,"Robert Morris","W",18
"1163",2018,"South Dakota","L",17
"1164",2018,"South Dakota","W",13
"1165",2018,"South Dakota State","L",9
"1166",2018,"South Dakota State","W",24
"1167",2018,"Southern Illinois","L",15
"1168",2018,"Southern Illinois","W",17
"1169",2018,"Toledo","L",8
"1170",2018,"Toledo","W",25
"1171",2018,"Tulsa","L",14
"1172",2018,"Tulsa","W",18
"1173",2018,"Valparaiso","L",18
"1174",2018,"Valparaiso","W",15
"1175",2018,"Western Michigan","L",24
"1176",2018,"Western Michigan","W",8
"1177",2018,"Wichita State","L",15
"1178",2018,"Wichita State","W",22
"1179",2018,"Wisconsin","L",11
"1180",2018,"Wisconsin","W",23
"1181",2018,"Wright State","L",14
"1182",2018,"Wright State","W",21
"1183",2018,"Youngstown State","L",20
"1184",2018,"Youngstown State","W",12
"1185",2019,"Akron","L",7
"1186",2019,"Akron","W",24
"1187",2019,"Ball State","L",13
"1188",2019,"Ball State","W",18
"1189",2019,"Belmont","L",7
"1190",2019,"Belmont","W",26
"1191",2019,"Bowling Green State","L",10
"1192",2019,"Bowling Green State","W",21
"1193",2019,"Bradley","L",11
"1194",2019,"Bradley","W",23
"1195",2019,"Buffalo","L",12
"1196",2019,"Buffalo","W",20
"1197",2019,"Butler","L",9
"1198",2019,"Butler","W",22
"1199",2019,"Central Michigan","L",18
"1200",2019,"Central Michigan","W",14
"1201",2019,"Chicago State","L",25
"1202",2019,"Chicago State","W",4
"1203",2019,"Cincinnati","L",10
"1204",2019,"Cincinnati","W",20
"1205",2019,"Cleveland State","L",21
"1206",2019,"Cleveland State","W",11
"1207",2019,"Creighton","L",7
"1208",2019,"Creighton","W",24
"1209",2019,"Denver","L",24
"1210",2019,"Denver","W",7
"1211",2019,"Detroit Mercy","L",23
"1212",2019,"Detroit Mercy","W",8
"1213",2019,"Drake","L",14
"1214",2019,"Drake","W",20
"1215",2019,"Eastern Michigan","L",16
"1216",2019,"Eastern Michigan","W",16
"1217",2019,"Evansville","L",23
"1218",2019,"Evansville","W",9
"1219",2019,"Green Bay","L",16
"1220",2019,"Green Bay","W",17
"1221",2019,"Illinois","L",10
"1222",2019,"Illinois","W",21
"1223",2019,"Illinois-Chicago","L",17
"1224",2019,"Illinois-Chicago","W",18
"1225",2019,"Illinois State","L",21
"1226",2019,"Illinois State","W",10
"1227",2019,"Indiana","L",12
"1228",2019,"Indiana","W",20
"1229",2019,"Indiana State","L",12
"1230",2019,"Indiana State","W",18
"1231",2019,"Iowa","L",11
"1232",2019,"Iowa","W",20
"1233",2019,"Iowa State","L",20
"1234",2019,"Iowa State","W",12
"1235",2019,"IUPUI","L",25
"1236",2019,"IUPUI","W",7
"1237",2019,"Kansas","L",3
"1238",2019,"Kansas","W",28
"1239",2019,"Kansas State","L",21
"1240",2019,"Kansas State","W",11
"1241",2019,"Kent State","L",12
"1242",2019,"Kent State","W",20
"1243",2019,"Loyola (IL)","L",11
"1244",2019,"Loyola (IL)","W",21
"1245",2019,"Memphis","L",10
"1246",2019,"Memphis","W",21
"1247",2019,"Miami (OH)","L",19
"1248",2019,"Miami (OH)","W",13
"1249",2019,"Michigan","L",12
"1250",2019,"Michigan","W",19
"1251",2019,"Michigan State","L",9
"1252",2019,"Michigan State","W",22
"1253",2019,"Milwaukee","L",19
"1254",2019,"Milwaukee","W",12
"1255",2019,"Minnesota","L",16
"1256",2019,"Minnesota","W",15
"1257",2019,"Missouri","L",16
"1258",2019,"Missouri","W",15
"1259",2019,"Missouri State","L",17
"1260",2019,"Missouri State","W",16
"1261",2019,"Murray State","L",9
"1262",2019,"Murray State","W",23
"1263",2019,"Nebraska","L",25
"1264",2019,"Nebraska","W",7
"1265",2019,"North Dakota","L",18
"1266",2019,"North Dakota","W",15
"1267",2019,"North Dakota State","L",8
"1268",2019,"North Dakota State","W",25
"1269",2019,"Northern Illinois","L",13
"1270",2019,"Northern Illinois","W",18
"1271",2019,"Northern Iowa","L",6
"1272",2019,"Northern Iowa","W",25
"1273",2019,"Northern Kentucky","L",9
"1274",2019,"Northern Kentucky","W",23
"1275",2019,"Northwestern","L",23
"1276",2019,"Northwestern","W",8
"1277",2019,"Notre Dame","L",12
"1278",2019,"Notre Dame","W",20
"1279",2019,"Ohio","L",15
"1280",2019,"Ohio","W",17
"1281",2019,"Ohio State","L",10
"1282",2019,"Ohio State","W",21
"1283",2019,"Oklahoma","L",12
"1284",2019,"Oklahoma","W",19
"1285",2019,"Oklahoma State","L",14
"1286",2019,"Oklahoma State","W",18
"1287",2019,"Oral Roberts","L",14
"1288",2019,"Oral Roberts","W",17
"1289",2019,"Pittsburgh","L",17
"1290",2019,"Pittsburgh","W",16
"1291",2019,"Purdue","L",15
"1292",2019,"Purdue","W",16
"1293",2019,"Robert Morris","L",14
"1294",2019,"Robert Morris","W",20
"1295",2019,"South Dakota","L",12
"1296",2019,"South Dakota","W",20
"1297",2019,"South Dakota State","L",10
"1298",2019,"South Dakota State","W",22
"1299",2019,"Southern Illinois","L",16
"1300",2019,"Southern Illinois","W",16
"1301",2019,"Toledo","L",15
"1302",2019,"Toledo","W",17
"1303",2019,"Tulsa","L",10
"1304",2019,"Tulsa","W",21
"1305",2019,"Valparaiso","L",16
"1306",2019,"Valparaiso","W",19
"1307",2019,"Western Michigan","L",19
"1308",2019,"Western Michigan","W",13
"1309",2019,"Wichita State","L",8
"1310",2019,"Wichita State","W",23
"1311",2019,"Wisconsin","L",10
"1312",2019,"Wisconsin","W",21
"1313",2019,"Wright State","L",7
"1314",2019,"Wright State","W",25
"1315",2019,"Youngstown State","L",15
"1316",2019,"Youngstown State","W",18
"1317",2020,"Akron","L",8
"1318",2020,"Akron","W",15
"1319",2020,"Ball State","L",13
"1320",2020,"Ball State","W",10
"1321",2020,"Belmont","L",4
"1322",2020,"Belmont","W",26
"1323",2020,"Bowling Green State","L",12
"1324",2020,"Bowling Green State","W",14
"1325",2020,"Bradley","L",16
"1326",2020,"Bradley","W",12
"1327",2020,"Buffalo","L",9
"1328",2020,"Buffalo","W",16
"1329",2020,"Butler","L",15
"1330",2020,"Butler","W",10
"1331",2020,"Central Michigan","L",16
"1332",2020,"Central Michigan","W",7
"1333",2020,"Chicago State","L",9
"1334",2020,"Cincinnati","L",11
"1335",2020,"Cincinnati","W",12
"1336",2020,"Cleveland State","L",8
"1337",2020,"Cleveland State","W",19
"1338",2020,"Creighton","L",9
"1339",2020,"Creighton","W",22
"1340",2020,"Denver","L",19
"1341",2020,"Denver","W",2
"1342",2020,"Detroit Mercy","L",10
"1343",2020,"Detroit Mercy","W",12
"1344",2020,"Drake","L",5
"1345",2020,"Drake","W",26
"1346",2020,"Eastern Michigan","L",12
"1347",2020,"Eastern Michigan","W",6
"1348",2020,"Evansville","L",16
"1349",2020,"Evansville","W",9
"1350",2020,"Green Bay","L",17
"1351",2020,"Green Bay","W",8
"1352",2020,"Illinois","L",7
"1353",2020,"Illinois","W",24
"1354",2020,"Illinois-Chicago","L",13
"1355",2020,"Illinois-Chicago","W",9
"1356",2020,"Illinois State","L",18
"1357",2020,"Illinois State","W",7
"1358",2020,"Indiana","L",15
"1359",2020,"Indiana","W",12
"1360",2020,"Indiana State","L",10
"1361",2020,"Indiana State","W",15
"1362",2020,"Iowa","L",9
"1363",2020,"Iowa","W",22
"1364",2020,"Iowa State","L",22
"1365",2020,"Iowa State","W",2
"1366",2020,"IUPUI","L",10
"1367",2020,"IUPUI","W",8
"1368",2020,"Kansas","L",9
"1369",2020,"Kansas","W",21
"1370",2020,"Kansas State","L",20
"1371",2020,"Kansas State","W",9
"1372",2020,"Kent State","L",8
"1373",2020,"Kent State","W",15
"1374",2020,"Loyola (IL)","L",5
"1375",2020,"Loyola (IL)","W",26
"1376",2020,"Memphis","L",8
"1377",2020,"Memphis","W",20
"1378",2020,"Miami (OH)","L",11
"1379",2020,"Miami (OH)","W",12
"1380",2020,"Michigan","L",5
"1381",2020,"Michigan","W",23
"1382",2020,"Michigan State","L",13
"1383",2020,"Michigan State","W",15
"1384",2020,"Milwaukee","L",12
"1385",2020,"Milwaukee","W",10
"1386",2020,"Minnesota","L",15
"1387",2020,"Minnesota","W",14
"1388",2020,"Missouri","L",10
"1389",2020,"Missouri","W",16
"1390",2020,"Missouri State","L",7
"1391",2020,"Missouri State","W",17
"1392",2020,"Murray State","L",13
"1393",2020,"Murray State","W",13
"1394",2020,"Nebraska","L",20
"1395",2020,"Nebraska","W",7
"1396",2020,"North Dakota","L",17
"1397",2020,"North Dakota","W",9
"1398",2020,"North Dakota State","L",12
"1399",2020,"North Dakota State","W",15
"1400",2020,"Northern Illinois","L",16
"1401",2020,"Northern Illinois","W",3
"1402",2020,"Northern Iowa","L",15
"1403",2020,"Northern Iowa","W",10
"1404",2020,"Northern Kentucky","L",11
"1405",2020,"Northern Kentucky","W",14
"1406",2020,"Northwestern","L",15
"1407",2020,"Northwestern","W",9
"1408",2020,"Notre Dame","L",15
"1409",2020,"Notre Dame","W",11
"1410",2020,"Ohio","L",8
"1411",2020,"Ohio","W",17
"1412",2020,"Ohio State","L",10
"1413",2020,"Ohio State","W",21
"1414",2020,"Oklahoma","L",11
"1415",2020,"Oklahoma","W",16
"1416",2020,"Oklahoma State","L",9
"1417",2020,"Oklahoma State","W",21
"1418",2020,"Oral Roberts","L",11
"1419",2020,"Oral Roberts","W",18
"1420",2020,"Pittsburgh","L",12
"1421",2020,"Pittsburgh","W",10
"1422",2020,"Purdue","L",10
"1423",2020,"Purdue","W",18
"1424",2020,"Robert Morris","L",15
"1425",2020,"Robert Morris","W",4
"1426",2020,"South Dakota","L",11
"1427",2020,"South Dakota","W",14
"1428",2020,"South Dakota State","L",7
"1429",2020,"South Dakota State","W",16
"1430",2020,"Southern Illinois","L",14
"1431",2020,"Southern Illinois","W",12
"1432",2020,"Toledo","L",9
"1433",2020,"Toledo","W",21
"1434",2020,"Tulsa","L",12
"1435",2020,"Tulsa","W",11
"1436",2020,"Valparaiso","L",18
"1437",2020,"Valparaiso","W",10
"1438",2020,"Western Michigan","L",16
"1439",2020,"Western Michigan","W",5
"1440",2020,"Wichita State","L",6
"1441",2020,"Wichita State","W",16
"1442",2020,"Wisconsin","L",13
"1443",2020,"Wisconsin","W",18
"1444",2020,"Wright State","L",6
"1445",2020,"Wright State","W",18
"1446",2020,"Youngstown State","L",12
"1447",2020,"Youngstown State","W",15
"1448",2021,"Akron","L",10
"1449",2021,"Akron","W",24
"1450",2021,"Ball State","L",17
"1451",2021,"Ball State","W",14
"1452",2021,"Belmont","L",8
"1453",2021,"Belmont","W",25
"1454",2021,"Bowling Green State","L",18
"1455",2021,"Bowling Green State","W",13
"1456",2021,"Bradley","L",14
"1457",2021,"Bradley","W",17
"1458",2021,"Buffalo","L",11
"1459",2021,"Buffalo","W",19
"1460",2021,"Butler","L",19
"1461",2021,"Butler","W",14
"1462",2021,"Central Michigan","L",23
"1463",2021,"Central Michigan","W",7
"1464",2021,"Chicago State","L",25
"1465",2021,"Chicago State","W",7
"1466",2021,"Cincinnati","L",15
"1467",2021,"Cincinnati","W",18
"1468",2021,"Cleveland State","L",11
"1469",2021,"Cleveland State","W",20
"1470",2021,"Creighton","L",12
"1471",2021,"Creighton","W",23
"1472",2021,"Denver","L",21
"1473",2021,"Denver","W",11
"1474",2021,"Detroit Mercy","L",16
"1475",2021,"Detroit Mercy","W",14
"1476",2021,"Drake","L",11
"1477",2021,"Drake","W",25
"1478",2021,"Eastern Michigan","L",21
"1479",2021,"Eastern Michigan","W",10
"1480",2021,"Evansville","L",24
"1481",2021,"Evansville","W",6
"1482",2021,"Green Bay","L",25
"1483",2021,"Green Bay","W",5
"1484",2021,"Illinois","L",10
"1485",2021,"Illinois","W",23
"1486",2021,"Illinois-Chicago","L",16
"1487",2021,"Illinois-Chicago","W",14
"1488",2021,"Illinois State","L",20
"1489",2021,"Illinois State","W",13
"1490",2021,"Indiana","L",14
"1491",2021,"Indiana","W",21
"1492",2021,"Indiana State","L",20
"1493",2021,"Indiana State","W",11
"1494",2021,"Iowa","L",10
"1495",2021,"Iowa","W",26
"1496",2021,"Iowa State","L",13
"1497",2021,"Iowa State","W",22
"1498",2021,"IUPUI","L",26
"1499",2021,"IUPUI","W",3
"1500",2021,"Kansas","L",6
"1501",2021,"Kansas","W",34
"1502",2021,"Kansas State","L",17
"1503",2021,"Kansas State","W",14
"1504",2021,"Kent State","L",11
"1505",2021,"Kent State","W",23
"1506",2021,"Loyola (IL)","L",8
"1507",2021,"Loyola (IL)","W",25
"1508",2021,"Memphis","L",11
"1509",2021,"Memphis","W",22
"1510",2021,"Miami (OH)","L",18
"1511",2021,"Miami (OH)","W",14
"1512",2021,"Michigan","L",15
"1513",2021,"Michigan","W",19
"1514",2021,"Michigan State","L",13
"1515",2021,"Michigan State","W",23
"1516",2021,"Milwaukee","L",22
"1517",2021,"Milwaukee","W",10
"1518",2021,"Minnesota","L",17
"1519",2021,"Minnesota","W",13
"1520",2021,"Missouri","L",21
"1521",2021,"Missouri","W",12
"1522",2021,"Missouri State","L",11
"1523",2021,"Missouri State","W",23
"1524",2021,"Murray State","L",3
"1525",2021,"Murray State","W",31
"1526",2021,"Nebraska","L",22
"1527",2021,"Nebraska","W",10
"1528",2021,"North Dakota","L",25
"1529",2021,"North Dakota","W",6
"1530",2021,"North Dakota State","L",10
"1531",2021,"North Dakota State","W",23
"1532",2021,"Northern Illinois","L",21
"1533",2021,"Northern Illinois","W",9
"1534",2021,"Northern Iowa","L",12
"1535",2021,"Northern Iowa","W",20
"1536",2021,"Northern Kentucky","L",12
"1537",2021,"Northern Kentucky","W",20
"1538",2021,"Northwestern","L",16
"1539",2021,"Northwestern","W",15
"1540",2021,"Notre Dame","L",11
"1541",2021,"Notre Dame","W",24
"1542",2021,"Ohio","L",10
"1543",2021,"Ohio","W",25
"1544",2021,"Ohio State","L",12
"1545",2021,"Ohio State","W",20
"1546",2021,"Oklahoma","L",16
"1547",2021,"Oklahoma","W",19
"1548",2021,"Oklahoma State","L",15
"1549",2021,"Oklahoma State","W",15
"1550",2021,"Oral Roberts","L",12
"1551",2021,"Oral Roberts","W",19
"1552",2021,"Pittsburgh","L",21
"1553",2021,"Pittsburgh","W",11
"1554",2021,"Purdue","L",8
"1555",2021,"Purdue","W",29
"1556",2021,"Robert Morris","L",24
"1557",2021,"Robert Morris","W",8
"1558",2021,"South Dakota","L",12
"1559",2021,"South Dakota","W",19
"1560",2021,"South Dakota State","L",5
"1561",2021,"South Dakota State","W",30
"1562",2021,"Southern Illinois","L",15
"1563",2021,"Southern Illinois","W",16
"1564",2021,"Toledo","L",8
"1565",2021,"Toledo","W",26
"1566",2021,"Tulsa","L",20
"1567",2021,"Tulsa","W",11
"1568",2021,"Valparaiso","L",18
"1569",2021,"Valparaiso","W",14
"1570",2021,"Western Michigan","L",23
"1571",2021,"Western Michigan","W",8
"1572",2021,"Wichita State","L",13
"1573",2021,"Wichita State","W",15
"1574",2021,"Wisconsin","L",8
"1575",2021,"Wisconsin","W",25
"1576",2021,"Wright State","L",14
"1577",2021,"Wright State","W",22
"1578",2021,"Youngstown State","L",15
"1579",2021,"Youngstown State","W",19
"1580",2022,"Akron","L",11
"1581",2022,"Akron","W",22
"1582",2022,"Ball State","L",12
