"","season","schl","result","games"
"163",2011,"Evansville","L",16
"164",2011,"Evansville","W",16
"165",2011,"Green Bay","L",15
"166",2011,"Green Bay","W",15
"167",2011,"Illinois","L",15
"168",2011,"Illinois","W",17
"169",2011,"Illinois-Chicago","L",22
"170",2011,"Illinois-Chicago","W",8
"171",2011,"Illinois State","L",14
"172",2011,"Illinois State","W",21
"173",2011,"Indiana","L",9
"174",2011,"Indiana","W",27
"175",2011,"Indiana State","L",15
"176",2011,"Indiana State","W",18
"177",2011,"Iowa","L",17
"178",2011,"Iowa","W",18
"179",2011,"Iowa State","L",11
"180",2011,"Iowa State","W",23
"181",2011,"IUPUI","L",18
"182",2011,"IUPUI","W",14
"183",2011,"Kansas","L",7
"184",2011,"Kansas","W",32
"185",2011,"Kansas State","L",11
"186",2011,"Kansas State","W",22
"187",2011,"Kent State","L",12
"188",2011,"Kent State","W",21
"189",2011,"Loyola (IL)","L",23
"190",2011,"Loyola (IL)","W",7
"191",2011,"Memphis","L",9
"192",2011,"Memphis","W",26
"193",2011,"Miami (OH)","L",21
"194",2011,"Miami (OH)","W",9
"195",2011,"Michigan","L",10
"196",2011,"Michigan","W",24
"197",2011,"Michigan State","L",8
"198",2011,"Michigan State","W",29
"199",2011,"Milwaukee","L",14
"200",2011,"Milwaukee","W",20
"201",2011,"Minnesota","L",15
"202",2011,"Minnesota","W",23
"203",2011,"Missouri","L",5
"204",2011,"Missouri","W",30
"205",2011,"Missouri State","L",16
"206",2011,"Missouri State","W",16
"207",2011,"Murray State","L",2
"208",2011,"Murray State","W",31
"209",2011,"Nebraska","L",18
"210",2011,"Nebraska","W",12
"211",2011,"North Dakota","L",15
"212",2011,"North Dakota","W",17
"213",2011,"North Dakota State","L",14
"214",2011,"North Dakota State","W",17
"215",2011,"Northern Illinois","L",26
"216",2011,"Northern Illinois","W",5
"217",2011,"Northern Iowa","L",14
"218",2011,"Northern Iowa","W",20
"219",2011,"Northwestern","L",14
"220",2011,"Northwestern","W",19
"221",2011,"Notre Dame","L",12
"222",2011,"Notre Dame","W",22
"223",2011,"Ohio","L",8
"224",2011,"Ohio","W",29
"225",2011,"Ohio State","L",8
"226",2011,"Ohio State","W",31
"227",2011,"Oklahoma","L",16
"228",2011,"Oklahoma","W",15
"229",2011,"Oklahoma State","L",18
"230",2011,"Oklahoma State","W",15
"231",2011,"Oral Roberts","L",7
"232",2011,"Oral Roberts","W",27
"233",2011,"Pittsburgh","L",17
"234",2011,"Pittsburgh","W",22
"235",2011,"Purdue","L",13
"236",2011,"Purdue","W",22
"237",2011,"Robert Morris","L",11
"238",2011,"Robert Morris","W",26
"239",2011,"South Dakota","L",18
"240",2011,"South Dakota","W",10
"241",2011,"South Dakota State","L",8
"242",2011,"South Dakota State","W",27
"243",2011,"Southern Illinois","L",23
"244",2011,"Southern Illinois","W",8
"245",2011,"Toledo","L",17
"246",2011,"Toledo","W",19
"247",2011,"Tulsa","L",14
"248",2011,"Tulsa","W",17
"249",2011,"Valparaiso","L",12
"250",2011,"Valparaiso","W",22
"251",2011,"Western Michigan","L",20
"252",2011,"Western Michigan","W",14
"253",2011,"Wichita State","L",6
"254",2011,"Wichita State","W",27
"255",2011,"Wisconsin","L",10
"256",2011,"Wisconsin","W",26
"257",2011,"Wright State","L",19
"258",2011,"Wright State","W",13
"259",2011,"Youngstown State","L",15
"260",2011,"Youngstown State","W",16
"261",2012,"Akron","L",7
"262",2012,"Akron","W",26
"263",2012,"Ball State","L",15
"264",2012,"Ball State","W",15
"265",2012,"Belmont","L",7
"266",2012,"Belmont","W",26
"267",2012,"Bowling Green State","L",19
"268",2012,"Bowling Green State","W",13
"269",2012,"Bradley","L",17
"270",2012,"Bradley","W",18
"271",2012,"Buffalo","L",20
"272",2012,"Buffalo","W",14
"273",2012,"Butler","L",9
"274",2012,"Butler","W",27
"275",2012,"Central Michigan","L",20
"276",2012,"Central Michigan","W",11
"277",2012,"Chicago State","L",22
"278",2012,"Chicago State","W",11
"279",2012,"Cincinnati","L",12
"280",2012,"Cincinnati","W",22
"281",2012,"Cleveland State","L",18
"282",2012,"Cleveland State","W",14
"283",2012,"Creighton","L",8
"284",2012,"Creighton","W",28
"285",2012,"Denver","L",10
"286",2012,"Denver","W",22
"287",2012,"Detroit Mercy","L",13
"288",2012,"Detroit Mercy","W",20
"289",2012,"Drake","L",17
"290",2012,"Drake","W",15
"291",2012,"Eastern Michigan","L",18
"292",2012,"Eastern Michigan","W",16
"293",2012,"Evansville","L",15
"294",2012,"Evansville","W",21
"295",2012,"Green Bay","L",16
"296",2012,"Green Bay","W",18
"297",2012,"Illinois","L",13
"298",2012,"Illinois","W",23
"299",2012,"Illinois-Chicago","L",16
"300",2012,"Illinois-Chicago","W",18
"301",2012,"Illinois State","L",15
"302",2012,"Illinois State","W",18
"303",2012,"Indiana","L",7
"304",2012,"Indiana","W",29
"305",2012,"Indiana State","L",15
"306",2012,"Indiana State","W",18
"307",2012,"Iowa","L",13
"308",2012,"Iowa","W",25
"309",2012,"Iowa State","L",12
"310",2012,"Iowa State","W",23
"311",2012,"IUPUI","L",26
"312",2012,"IUPUI","W",6
"313",2012,"Kansas","L",6
"314",2012,"Kansas","W",31
"315",2012,"Kansas State","L",8
"316",2012,"Kansas State","W",27
"317",2012,"Kent State","L",14
"318",2012,"Kent State","W",21
"319",2012,"Loyola (IL)","L",16
"320",2012,"Loyola (IL)","W",15
"321",2012,"Memphis","L",5
"322",2012,"Memphis","W",31
"323",2012,"Miami (OH)","L",22
"324",2012,"Miami (OH)","W",9
"325",2012,"Michigan","L",8
"326",2012,"Michigan","W",31
"327",2012,"Michigan State","L",9
"328",2012,"Michigan State","W",27
"329",2012,"Milwaukee","L",24
"330",2012,"Milwaukee","W",8
"331",2012,"Minnesota","L",13
"332",2012,"Minnesota","W",21
"333",2012,"Missouri","L",11
"334",2012,"Missouri","W",23
"335",2012,"Missouri State","L",22
"336",2012,"Missouri State","W",11
"337",2012,"Murray State","L",10
"338",2012,"Murray State","W",21
"339",2012,"Nebraska","L",18
"340",2012,"Nebraska","W",15
"341",2012,"North Dakota","L",17
"342",2012,"North Dakota","W",16
"343",2012,"North Dakota State","L",10
"344",2012,"North Dakota State","W",24
"345",2012,"Northern Illinois","L",25
"346",2012,"Northern Illinois","W",5
"347",2012,"Northern Iowa","L",15
"348",2012,"Northern Iowa","W",21
"349",2012,"Northern Kentucky","L",16
"350",2012,"Northern Kentucky","W",11
"351",2012,"Northwestern","L",19
"352",2012,"Northwestern","W",13
"353",2012,"Notre Dame","L",10
"354",2012,"Notre Dame","W",25
"355",2012,"Ohio","L",10
"356",2012,"Ohio","W",24
"357",2012,"Ohio State","L",8
"358",2012,"Ohio State","W",29
"359",2012,"Oklahoma","L",12
"360",2012,"Oklahoma","W",20
"361",2012,"Oklahoma State","L",9
"362",2012,"Oklahoma State","W",24
"363",2012,"Oral Roberts","L",15
"364",2012,"Oral Roberts","W",20
"365",2012,"Pittsburgh","L",9
"366",2012,"Pittsburgh","W",24
"367",2012,"Purdue","L",18
"368",2012,"Purdue","W",16
"369",2012,"Robert Morris","L",11
"370",2012,"Robert Morris","W",24
"371",2012,"South Dakota","L",20
"372",2012,"South Dakota","W",10
"373",2012,"South Dakota State","L",10
"374",2012,"South Dakota State","W",25
"375",2012,"Southern Illinois","L",17
"376",2012,"Southern Illinois","W",14
"377",2012,"Toledo","L",13
"378",2012,"Toledo","W",15
"379",2012,"Tulsa","L",16
"380",2012,"Tulsa","W",17
"381",2012,"Valparaiso","L",8
"382",2012,"Valparaiso","W",26
"383",2012,"Western Michigan","L",13
"384",2012,"Western Michigan","W",22
"385",2012,"Wichita State","L",9
"386",2012,"Wichita State","W",30
"387",2012,"Wisconsin","L",12
"388",2012,"Wisconsin","W",23
"389",2012,"Wright State","L",13
"390",2012,"Wright State","W",23
"391",2012,"Youngstown State","L",16
"392",2012,"Youngstown State","W",18
"393",2013,"Akron","L",13
"394",2013,"Akron","W",21
"395",2013,"Ball State","L",25
"396",2013,"Ball State","W",5
"397",2013,"Belmont","L",10
"398",2013,"Belmont","W",26
"399",2013,"Bowling Green State","L",20
"400",2013,"Bowling Green State","W",12
"401",2013,"Bradley","L",20
"402",2013,"Bradley","W",12
"403",2013,"Buffalo","L",10
"404",2013,"Buffalo","W",19
"405",2013,"Butler","L",17
"406",2013,"Butler","W",14
"407",2013,"Central Michigan","L",21
"408",2013,"Central Michigan","W",10
"409",2013,"Chicago State","L",19
"410",2013,"Chicago State","W",13
"411",2013,"Cincinnati","L",7
"412",2013,"Cincinnati","W",27
"413",2013,"Cleveland State","L",12
"414",2013,"Cleveland State","W",21
"415",2013,"Creighton","L",8
"416",2013,"Creighton","W",27
"417",2013,"Denver","L",15
"418",2013,"Denver","W",16
"419",2013,"Detroit Mercy","L",19
"420",2013,"Detroit Mercy","W",13
"421",2013,"Drake","L",16
"422",2013,"Drake","W",15
"423",2013,"Eastern Michigan","L",15
"424",2013,"Eastern Michigan","W",22
"425",2013,"Evansville","L",19
"426",2013,"Evansville","W",14
"427",2013,"Green Bay","L",7
"428",2013,"Green Bay","W",24
"429",2013,"Illinois","L",15
"430",2013,"Illinois","W",20
"431",2013,"Illinois-Chicago","L",25
"432",2013,"Illinois-Chicago","W",6
